"ID","TYPE_INDEX","TYPE_ID","DESCRIPTION","STATUS","VERSION","LAST_MODIFIED_USER_ID","LAST_MODIFIED_USER_NAME","LAST_MODIFIED_DATE_TIME","LAST_OPERATION_TYPE","EFFECTIVE_START_DATE_TIME","EFFECTIVE_END_DATE_TIME"
"238","1","5","","A","0","0","","2008/3/20 15:21:11.6990000","0","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"239","2","5","0:1:0 'A'","A","3","15112","Awang","2017/1/16 00:00:00.0000000","3","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"240","3","5","0:1:0 'C'","A","3","15112","Awang","2017/1/16 00:00:00.0000000","3","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"241","4","5","0:1:0 'G'","A","3","15112","Awang","2017/1/16 00:00:00.0000000","3","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"242","5","5","0:1:2 'G'","A","3","15112","Awang","2017/1/16 00:00:00.0000000","3","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"243","6","5","0:1:4 'G'","A","3","15112","Awang","2017/1/16 00:00:00.0000000","3","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"244","7","5","0:1:8 'G'","A","3","15112","Awang","2017/1/16 00:00:00.0000000","3","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"245","8","5","0:1:12 'G'","A","3","15112","Awang","2017/1/16 00:00:00.0000000","3","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"246","9","5","1:1:4 'G'","A","3","15112","Awang","2017/1/16 00:00:00.0000000","3","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"247","10","5","1:1:6 'G'","A","3","15112","Awang","2017/1/16 00:00:00.0000000","3","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"248","11","5","1:1:8 'G'","A","3","15112","Awang","2017/1/16 00:00:00.0000000","3","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"249","12","5","1:1:12 'G'","A","3","15112","Awang","2017/1/16 00:00:00.0000000","3","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"250","13","5","2:1:0 'G'","A","3","15112","Awang","2017/1/16 00:00:00.0000000","3","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"251","14","5","2:1:12 'G'","A","3","15112","Awang","2017/1/16 00:00:00.0000000","3","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"252","15","5","T40 EXP","T","1","1281","mge","2008/7/7 09:37:10.0000000","3","1-01/1/0 00:00:00.00000","2008/6/30 00:00:00.0000000"
"253","16","5","Expandomix","A","3","15112","Awang","2017/1/16 00:00:00.0000000","3","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"254","17","5","Expandomix HT","A","3","15112","Awang","2017/1/16 00:00:00.0000000","3","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"255","18","5","ExpandoLite","T","1","1281","mge","2008/7/7 09:38:33.0000000","3","1-01/1/0 00:00:00.00000","2008/6/30 00:00:00.0000000"
"256","19","5","Glacial Mix","A","3","15112","Awang","2017/1/16 00:00:00.0000000","3","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"257","20","5","ThixLite","A","2","15112","Awang","2017/8/29 11:22:44.0000000","3","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"258","21","5","ThixLite HT (AB)","A","3","15112","Awang","2017/1/16 00:00:00.0000000","3","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"259","22","5","Thixmix","A","1","15112","Awang","2017/8/29 11:22:44.0000000","0","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
