"ID","NAME","DESCRIPTION","PRODUCT_ID","PRODUCT_NAME","BLEND_RECIPE_ID","BLEND_RECIPE_NAME","IS_BASE_BLEND_ELIGIBLE","BLEND_FLUID_TYPE_ID","BLEND_FLUID_TYPE_NAME","IS_ADDITIVE_ELIGIBLE","ADDITIVE_TYPE_ID","ADDITIVE_TYPE_NAME","SPECIFIC_GRAVITY","MIX_WATER","YIELD","DENSITY","IS_THIXOTROPIC","BAGSIZE","AERCODE","VERSION","LAST_MODIFIED_USER_ID","LAST_MODIFIED_USER_NAME","LAST_MODIFIED_DATE_TIME","LAST_OPERATION_TYPE","EFFECTIVE_START_DATE_TIME","EFFECTIVE_END_DATE_TIME","BLEND_PRI_CAT_ID","BLEND_PRI_CAT_NAME"
"1","Class A","","1","Class A","","","1","152","Class A Cement","0","","","3.152","","0.776","1880","0","","1","1","0","","2018/9/28 18:10:42.6030000","1","2017/9/28 18:10:42.6030000","9999/12/31 23:59:59.9970000","1","Cementing Blend"
"2","Class C","","2","Class C","","","1","153","Class C Cement","0","","","3.192","","0.88","1780","0","","3","1","0","","2018/9/28 18:10:42.6170000","1","2017/9/28 18:10:42.6170000","9999/12/31 23:59:59.9970000","1","Cementing Blend"
"3","Class G","","3","Class G","","","1","154","Class G Cement","0","","","3.188","","0.762","1901","0","","4","1","0","","2018/9/28 18:10:42.6370000","1","2017/9/28 18:10:42.6330000","9999/12/31 23:59:59.9970000","1","Cementing Blend"
"4","Intercem","","4","Intercem","","","1","","","0","","","2.916","","0.876","1750","1","","1","1","0","","2018/9/28 18:10:42.6630000","1","2017/9/28 18:10:42.6630000","9999/12/31 23:59:59.9970000","1","Cementing Blend"
"5","ASM-3","","6","ASM-3","","","0","","","1","225","ASM-3","2.519","","","","0","","","1","0","","2018/9/28 18:10:42.7330000","1","2017/9/28 18:10:42.7330000","9999/12/31 23:59:59.9970000","",""
"6","ASM-5","","7","ASM-5","","","0","","","1","168","ASM-5","1.321","","","","0","","","1","0","","2018/9/28 18:10:42.7470000","1","2017/9/28 18:10:42.7470000","9999/12/31 23:59:59.9970000","",""
"7","Barite","","8","Barite","","","0","","","1","27","Barite","4.23","","","","0","","","1","0","","2018/9/28 18:10:42.7570000","1","2017/9/28 18:10:42.7570000","9999/12/31 23:59:59.9970000","",""
"8","CaCl2","","9","CaCl2","","","0","","","1","32","CaCl2","2.191","","","","0","","","1","0","","2018/9/28 18:10:42.7700000","1","2017/9/28 18:10:42.7700000","9999/12/31 23:59:59.9970000","",""
"9","CDF-4P","","10","CDF-4P","","","0","","","1","","","1.612","","","","0","","","1","0","","2018/9/28 18:10:42.7770000","1","2017/9/28 18:10:42.7770000","9999/12/31 23:59:59.9970000","",""
"10","CDF-6P","","11","CDF-6P","","","0","","","1","229","CDF-6P","1.6951","","","","0","","","1","0","","2018/9/28 18:10:42.7900000","1","2017/9/28 18:10:42.7900000","9999/12/31 23:59:59.9970000","",""
"12","CDM-2","","13","CDM-2","","","0","","","1","199","CDM-2","0.32","","","","0","","","1","0","","2018/9/28 18:10:42.8000000","1","2017/9/28 18:10:42.8000000","9999/12/31 23:59:59.9970000","",""
"13","CDM-4","","14","CDM-4","","","0","","","1","254","CDM-4","0.2761","","","","0","","","1","0","","2018/9/28 18:10:42.8100000","1","2017/9/28 18:10:42.8070000","9999/12/31 23:59:59.9970000","",""
"14","CDM-5","","15","CDM-5","","","0","","","1","200","CDM-5","0.38","","","","0","","","1","0","","2018/9/28 18:10:42.8170000","1","2017/9/28 18:10:42.8170000","9999/12/31 23:59:59.9970000","",""
"15","CDM-6","","16","CDM-6","","","0","","","1","201","CDM-6","0.54","","","","0","","","1","0","","2018/9/28 18:10:42.8270000","1","2017/9/28 18:10:42.8270000","9999/12/31 23:59:59.9970000","",""
"16","CDM-6B","","17","CDM-6B","","","0","","","1","","","0.54","","","","0","","","1","0","","2018/9/28 18:10:42.8370000","1","2017/9/28 18:10:42.8370000","9999/12/31 23:59:59.9970000","",""
"18","CDM-C","","19","CDM-C","","","0","","","1","203","CDM-C","1.2","","","","0","","","1","0","","2018/9/28 18:10:42.8470000","1","2017/9/28 18:10:42.8430000","9999/12/31 23:59:59.9970000","",""
"19","CFL-10","","20","CFL-10","","","0","","","1","230","CFL-10","1.504","","","","0","","","1","0","","2018/9/28 18:10:42.8530000","1","2017/9/28 18:10:42.8530000","9999/12/31 23:59:59.9970000","",""
"20","CFL-3","","21","CFL-3","","","0","","","1","37","CFL-3","1.287","","","","0","","","1","0","","2018/9/28 18:10:42.8630000","1","2017/9/28 18:10:42.8630000","9999/12/31 23:59:59.9970000","",""
"21","CFL-3L","","22","CFL-3L","","","0","","","1","38","CFL-3L","0.977","","","","0","","","1","0","","2018/9/28 18:10:42.8700000","1","2017/9/28 18:10:42.8700000","9999/12/31 23:59:59.9970000","",""
"22","CFL-4","","23","CFL-4","","","0","","","1","39","CFL-4","1.4","","","","0","","","1","0","","2018/9/28 18:10:42.8800000","1","2017/9/28 18:10:42.8800000","9999/12/31 23:59:59.9970000","",""
"23","CFL-6","","24","CFL-6","","","0","","","1","140","CFL-6","1.288","","","","0","","","1","0","","2018/9/28 18:10:42.8900000","1","2017/9/28 18:10:42.8900000","9999/12/31 23:59:59.9970000","",""
"24","CFL-7","","25","CFL-7","","","0","","","1","142","CFL-7","1.582","","","","0","","","1","0","","2018/9/28 18:10:42.8970000","1","2017/9/28 18:10:42.8970000","9999/12/31 23:59:59.9970000","",""
