"ID","NAME","VERSION","LAST_MODIFIED_USER_ID","LAST_MODIFIED_USER_NAME","LAST_MODIFIED_DATE_TIME","LAST_OPERATION_TYPE","EFFECTIVE_START_DATE_TIME","EFFECTIVE_END_DATE_TIME"
"1","0:1:0 'A'","1","0","","2018/9/28 18:10:49.1430000","1","2017/9/28 18:10:49.1430000","9999/12/31 23:59:59.9970000"
"2","0:1:0 'C'","1","0","","2018/9/28 18:10:49.2730000","1","2017/9/28 18:10:49.2730000","9999/12/31 23:59:59.9970000"
"3","0:1:0 'G'","1","0","","2018/9/28 18:10:49.3230000","1","2017/9/28 18:10:49.3230000","9999/12/31 23:59:59.9970000"
"4","0:1:12 'G'","1","0","","2018/9/28 18:10:49.3370000","1","2017/9/28 18:10:49.3370000","9999/12/31 23:59:59.9970000"
"5","0:1:2 'G'","1","0","","2018/9/28 18:10:49.3630000","1","2017/9/28 18:10:49.3630000","9999/12/31 23:59:59.9970000"
"6","0:1:4 'G'","1","0","","2018/9/28 18:10:49.3870000","1","2017/9/28 18:10:49.3830000","9999/12/31 23:59:59.9970000"
"7","0:1:6 'G'","1","0","","2018/9/28 18:10:49.4070000","1","2017/9/28 18:10:49.4070000","9999/12/31 23:59:59.9970000"
"8","0:1:8 'G'","1","0","","2018/9/28 18:10:49.4770000","1","2017/9/28 18:10:49.4770000","9999/12/31 23:59:59.9970000"
"9","1:1:0 'G'","1","0","","2018/9/28 18:10:49.4970000","1","2017/9/28 18:10:49.4970000","9999/12/31 23:59:59.9970000"
"10","1:1:0 'G' (Sask)","1","0","","2018/9/28 18:10:49.5200000","1","2017/9/28 18:10:49.5200000","9999/12/31 23:59:59.9970000"
"11","1:1:12 'G'","1","0","","2018/9/28 18:10:49.5930000","1","2017/9/28 18:10:49.5930000","9999/12/31 23:59:59.9970000"
"12","1:1:12 'G' (Sask)","1","0","","2018/9/28 18:10:49.6170000","1","2017/9/28 18:10:49.6130000","9999/12/31 23:59:59.9970000"
"13","1:1:2 'G'","1","0","","2018/9/28 18:10:49.6430000","1","2017/9/28 18:10:49.6430000","9999/12/31 23:59:59.9970000"
"14","1:1:2 'G' (Sask)","1","0","","2018/9/28 18:10:49.6630000","1","2017/9/28 18:10:49.6630000","9999/12/31 23:59:59.9970000"
"15","1:1:4 'G'","1","0","","2018/9/28 18:10:49.7430000","1","2017/9/28 18:10:49.7430000","9999/12/31 23:59:59.9970000"
"16","1:1:4 'G' (Sask)","1","0","","2018/9/28 18:10:49.7670000","1","2017/9/28 18:10:49.7670000","9999/12/31 23:59:59.9970000"
"17","1:1:6 'G'","1","0","","2018/9/28 18:10:49.7870000","1","2017/9/28 18:10:49.7870000","9999/12/31 23:59:59.9970000"
"18","1:1:6 'G' (Sask)","1","0","","2018/9/28 18:10:49.8100000","1","2017/9/28 18:10:49.8070000","9999/12/31 23:59:59.9970000"
"19","1:1:8 'G'","1","0","","2018/9/28 18:10:49.8300000","1","2017/9/28 18:10:49.8300000","9999/12/31 23:59:59.9970000"
"20","1:1:8 'G' (Sask)","1","0","","2018/9/28 18:10:49.8500000","1","2017/9/28 18:10:49.8500000","9999/12/31 23:59:59.9970000"
"21","2:1:0 'G'","1","0","","2018/9/28 18:10:49.8730000","1","2017/9/28 18:10:49.8730000","9999/12/31 23:59:59.9970000"
"22","2:1:0 'G' (Sask)","1","0","","2018/9/28 18:10:49.8970000","1","2017/9/28 18:10:49.8970000","9999/12/31 23:59:59.9970000"
"23","2:1:12 'G'","1","0","","2018/9/28 18:10:49.9200000","1","2017/9/28 18:10:49.9170000","9999/12/31 23:59:59.9970000"
"24","2:1:12 'G' (Sask)","1","0","","2018/9/28 18:10:49.9400000","1","2017/9/28 18:10:49.9400000","9999/12/31 23:59:59.9970000"
"25","2:1:2 'G'","1","0","","2018/9/28 18:10:49.9630000","1","2017/9/28 18:10:49.9600000","9999/12/31 23:59:59.9970000"
"26","2:1:2 'G' (Sask)","1","0","","2018/9/28 18:10:49.9870000","1","2017/9/28 18:10:49.9870000","9999/12/31 23:59:59.9970000"
"27","2:1:4 'G'","1","0","","2018/9/28 18:10:50.0130000","1","2017/9/28 18:10:50.0100000","9999/12/31 23:59:59.9970000"
"28","2:1:4 'G' (Sask)","1","0","","2018/9/28 18:10:50.0400000","1","2017/9/28 18:10:50.0400000","9999/12/31 23:59:59.9970000"
