"ID","ROOT_ID","PARENT_ID","BLEND_CHEMICAL_ID","AMOUNT","IS_BASE_BLEND","ADDITION_METHOD","ADDITIVE_BLEND_METHOD","UNIT_NAME","UNIT_ABBR","VERSION","LAST_MODIFIED_USER_ID","LAST_MODIFIED_USER_NAME","LAST_MODIFIED_DATE_TIME","LAST_OPERATION_TYPE","EFFECTIVE_START_DATE_TIME","EFFECTIVE_END_DATE_TIME","BLEND_CHEMICAL_NAME"
"1","1","1","1","1000","1","2","1","Percent","%","1","0","","2018/9/28 18:10:49.1900000","1","2017/9/28 18:10:49.1900000","9999/12/31 23:59:59.9970000","Class A"
"2","2","2","2","1000","1","2","1","Percent","%","1","0","","2018/9/28 18:10:49.3170000","1","2017/9/28 18:10:49.3170000","9999/12/31 23:59:59.9970000","Class C"
"3","3","3","3","1000","1","2","1","Percent","%","1","0","","2018/9/28 18:10:49.3300000","1","2017/9/28 18:10:49.3300000","9999/12/31 23:59:59.9970000","Class G"
"4","4","4","78","1000","1","1","1","Percent","%","1","0","","2018/9/28 18:10:49.3470000","1","2017/9/28 18:10:49.3430000","9999/12/31 23:59:59.9970000","0:1:0 'G'"
"5","4","4","41","120","0","1","1","Percent","%","1","0","","2018/9/28 18:10:49.3530000","1","2017/9/28 18:10:49.3530000","9999/12/31 23:59:59.9970000","GSS-1"
"9","76","76","2","641","1","2","1","Percent","%","1","0","","2018/9/28 18:10:54.6570000","1","2017/9/28 18:10:54.6570000","9999/12/31 23:59:59.9970000","Class C"
"10","76","76","35","335","0","2","1","Percent","%","1","0","","2018/9/28 18:10:54.6670000","1","2017/9/28 18:10:54.6670000","9999/12/31 23:59:59.9970000","Flyash"
"11","76","76","69","14","0","2","1","Percent","%","1","0","","2018/9/28 18:10:54.6730000","1","2017/9/28 18:10:54.6730000","9999/12/31 23:59:59.9970000","SCA-6"
"12","76","76","68","10","0","2","1","Percent","%","1","0","","2018/9/28 18:10:54.6800000","1","2017/9/28 18:10:54.6800000","9999/12/31 23:59:59.9970000","SCA-5"
"13","9","9","78","620","1","2","1","Percent","%","1","0","","2018/9/28 18:10:49.5030000","1","2017/9/28 18:10:49.5030000","9999/12/31 23:59:59.9970000","0:1:0 'G'"
"14","9","9","35","380","0","2","1","Percent","%","1","0","","2018/9/28 18:10:49.5100000","1","2017/9/28 18:10:49.5100000","9999/12/31 23:59:59.9970000","Flyash"
"15","11","11","84","1000","1","1","1","Percent","%","1","0","","2018/9/28 18:10:49.6000000","1","2017/9/28 18:10:49.6000000","9999/12/31 23:59:59.9970000","1:1:0 'G'"
"16","11","11","41","120","0","1","1","Percent","%","1","0","","2018/9/28 18:10:49.6070000","1","2017/9/28 18:10:49.6070000","9999/12/31 23:59:59.9970000","GSS-1"
"17","5","5","78","1000","1","1","1","Percent","%","1","0","","2018/9/28 18:10:49.3700000","1","2017/9/28 18:10:49.3700000","9999/12/31 23:59:59.9970000","0:1:0 'G'"
"18","5","5","41","20","0","1","1","Percent","%","1","0","","2018/9/28 18:10:49.3770000","1","2017/9/28 18:10:49.3770000","9999/12/31 23:59:59.9970000","GSS-1"
"19","6","6","78","1000","1","1","1","Percent","%","1","0","","2018/9/28 18:10:49.3900000","1","2017/9/28 18:10:49.3900000","9999/12/31 23:59:59.9970000","0:1:0 'G'"
