"ID","NAME","DESCRIPTION","INVENTORY_NUMBER","PRICE_CODE","VERSION","LAST_MODIFIED_USER_ID","LAST_MODIFIED_USER_NAME","LAST_MODIFIED_DATE_TIME","LAST_OPERATION_TYPE","EFFECTIVE_START_DATE_TIME","EFFECTIVE_END_DATE_TIME"
"1","Class A","Class A Cement","IIN023072","113049","1","0","","2018/9/28 18:10:37.6400000","1","2017/9/28 18:10:37.6400000","9999/12/31 23:59:59.9970000"
"2","Class C","Class C Cement","IIN023073","","1","0","","2018/9/28 18:10:37.6570000","1","2017/9/28 18:10:37.6570000","9999/12/31 23:59:59.9970000"
"3","Class G","Class G Cement","IIN023074","113000","1","0","","2018/9/28 18:10:37.6970000","1","2017/9/28 18:10:37.6970000","9999/12/31 23:59:59.9970000"
"4","Intercem","Intercem","IIN023116","","1","0","","2018/9/28 18:10:37.7070000","1","2017/9/28 18:10:37.7070000","9999/12/31 23:59:59.9970000"
"5","Sanseal","Sanseal","IIN023192","113117","1","0","","2018/9/28 18:10:37.7270000","1","2017/9/28 18:10:37.7270000","9999/12/31 23:59:59.9970000"
"6","ASM-3","ASM-3","IIN023131","113414","1","0","","2018/9/28 18:10:37.7370000","1","2017/9/28 18:10:37.7370000","9999/12/31 23:59:59.9970000"
"7","ASM-5","ASM-5","IIN023234","113417","1","0","","2018/9/28 18:10:37.7570000","1","2017/9/28 18:10:37.7570000","9999/12/31 23:59:59.9970000"
"8","Barite","Barite","IIN023019","113230","1","0","","2018/9/28 18:10:37.7630000","1","2017/9/28 18:10:37.7630000","9999/12/31 23:59:59.9970000"
"9","CaCl2","CaCl2","IIN023054","113101","1","0","","2018/9/28 18:10:37.7730000","1","2017/9/28 18:10:37.7730000","9999/12/31 23:59:59.9970000"
"10","CDF-4P","CDF-4P","IIN023056","113263","1","0","","2018/9/28 18:10:37.7830000","1","2017/9/28 18:10:37.7800000","9999/12/31 23:59:59.9970000"
"11","CDF-6P","CDF-6P","IIN052225","113267","1","0","","2018/9/28 18:10:37.7900000","1","2017/9/28 18:10:37.7870000","9999/12/31 23:59:59.9970000"
"13","CDM-2","CDM-2","IIN023036","113418","1","0","","2018/9/28 18:10:37.7970000","1","2017/9/28 18:10:37.7970000","9999/12/31 23:59:59.9970000"
"14","CDM-4","CDM-4","IIN054779","113416","1","0","","2018/9/28 18:10:37.8030000","1","2017/9/28 18:10:37.8030000","9999/12/31 23:59:59.9970000"
"15","CDM-5","CDM-5","IIN023037","113419","1","0","","2018/9/28 18:10:37.8130000","1","2017/9/28 18:10:37.8100000","9999/12/31 23:59:59.9970000"
"16","CDM-6","CDM-6","IIN023167","113420","1","0","","2018/9/28 18:10:37.8200000","1","2017/9/28 18:10:37.8170000","9999/12/31 23:59:59.9970000"
"17","CDM-6B","CDM-6B","IIN054152","","1","0","","2018/9/28 18:10:37.8270000","1","2017/9/28 18:10:37.8270000","9999/12/31 23:59:59.9970000"
"19","CDM-C","CDM-C","IIN023058","113422","1","0","","2018/9/28 18:10:37.8370000","1","2017/9/28 18:10:37.8370000","9999/12/31 23:59:59.9970000"
"20","CFL-10","CFL-10","IIN038276","113138","1","0","","2018/9/28 18:10:37.8470000","1","2017/9/28 18:10:37.8430000","9999/12/31 23:59:59.9970000"
"21","CFL-3","CFL-3","IIN023060","113132","1","0","","2018/9/28 18:10:37.8530000","1","2017/9/28 18:10:37.8530000","9999/12/31 23:59:59.9970000"
"22","CFL-3L","CFL-3L","IIN023061","113133","1","0","","2018/9/28 18:10:37.8630000","1","2017/9/28 18:10:37.8600000","9999/12/31 23:59:59.9970000"
"23","CFL-4","CFL-4","IIN023062","113134","1","0","","2018/9/28 18:10:37.8700000","1","2017/9/28 18:10:37.8670000","9999/12/31 23:59:59.9970000"
"24","CFL-6","CFL-6","IIN023063","113135","1","0","","2018/9/28 18:10:37.8770000","1","2017/9/28 18:10:37.8770000","9999/12/31 23:59:59.9970000"
"25","CFL-7","CFL-7","IIN023064","113136","1","0","","2018/9/28 18:10:37.8870000","1","2017/9/28 18:10:37.8870000","9999/12/31 23:59:59.9970000"
"26","CFL-8","CFL-8","IIN023065","113137","1","0","","2018/9/28 18:10:37.8930000","1","2017/9/28 18:10:37.8930000","9999/12/31 23:59:59.9970000"
"27","CFR","CFR","IIN023067","113160","1","0","","2018/9/28 18:10:37.9000000","1","2017/9/28 18:10:37.9000000","9999/12/31 23:59:59.9970000"
"28","CFR-2","CFR-2","IIN023068","113161","1","0","","2018/9/28 18:10:37.9100000","1","2017/9/28 18:10:37.9100000","9999/12/31 23:59:59.9970000"
"29","CFR-5","CFR-5","IIN032465","113163","1","0","","2018/9/28 18:10:37.9200000","1","2017/9/28 18:10:37.9200000","9999/12/31 23:59:59.9970000"
"30","Ciment Fondue","Ciment Fondue","IIN023092","113426","1","0","","2018/9/28 18:10:37.9270000","1","2017/9/28 18:10:37.9270000","9999/12/31 23:59:59.9970000"
"34","Densified Fume","Densified Fume","IIN054770","","1","0","","2018/9/28 18:10:37.9370000","1","2017/9/28 18:10:37.9370000","9999/12/31 23:59:59.9970000"
"35","EA-1","EA-1","IIN023221","113224","1","0","","2018/9/28 18:10:37.9470000","1","2017/9/28 18:10:37.9470000","9999/12/31 23:59:59.9970000"
"36","EA-3","EA-3","IIN023222","113225","1","0","","2018/9/28 18:10:37.9570000","1","2017/9/28 18:10:37.9570000","9999/12/31 23:59:59.9970000"
"37","FA-1","FA-1","IIN023087","113271","1","0","","2018/9/28 18:10:37.9630000","1","2017/9/28 18:10:37.9630000","9999/12/31 23:59:59.9970000"
"38","FA-3","FA-3","IIN038098","113273","1","0","","2018/9/28 18:10:37.9730000","1","2017/9/28 18:10:37.9700000","9999/12/31 23:59:59.9970000"
"39","Flyash","Flyash","IIN023091","","1","0","","2018/9/28 18:10:37.9800000","1","2017/9/28 18:10:37.9800000","9999/12/31 23:59:59.9970000"
"40","Flyash (Sask)","Flyash (Sask)","IIN054775","","1","0","","2018/9/28 18:10:37.9870000","1","2017/9/28 18:10:37.9870000","9999/12/31 23:59:59.9970000"
"41","FS-1","FS-1","IIN051265","113500","1","0","","2018/9/28 18:10:38.0000000","1","2017/9/28 18:10:38.0000000","9999/12/31 23:59:59.9970000"
"42","FWC-2","FWC-2","IIN023099","113140","1","0","","2018/9/28 18:10:38.0100000","1","2017/9/28 18:10:38.0070000","9999/12/31 23:59:59.9970000"
"43","GCA-1","GCA-1","IIN023100","113228","1","0","","2018/9/28 18:10:38.0170000","1","2017/9/28 18:10:38.0130000","9999/12/31 23:59:59.9970000"
"44","Graphite","Graphite","IIN023101","113423","1","0","","2018/9/28 18:10:38.0230000","1","2017/9/28 18:10:38.0230000","9999/12/31 23:59:59.9970000"
"45","GSS-1","GSS-1","IIN023022","113139","1","0","","2018/9/28 18:10:38.0330000","1","2017/9/28 18:10:38.0330000","9999/12/31 23:59:59.9970000"
"46","Hematite","Hematite","IIN023105","113232","1","0","","2018/9/28 18:10:38.0570000","1","2017/9/28 18:10:38.0500000","9999/12/31 23:59:59.9970000"
"47","HTR","HTR","IIN023109","113115","1","0","","2018/9/28 18:10:38.0900000","1","2017/9/28 18:10:38.0770000","9999/12/31 23:59:59.9970000"
"48","HTR-2","HTR-2","IIN041176","113129","1","0","","2018/9/28 18:10:38.1570000","1","2017/9/28 18:10:38.1400000","9999/12/31 23:59:59.9970000"
"49","HTR-3","HTR-3","IIN023129","113142","1","0","","2018/9/28 18:10:38.2730000","1","2017/9/28 18:10:38.2630000","9999/12/31 23:59:59.9970000"
"50","HTR-3A","HTR-3A","IIN023130","113143","1","0","","2018/9/28 18:10:38.2830000","1","2017/9/28 18:10:38.2830000","9999/12/31 23:59:59.9970000"
"52","KCl","KCl","IIN023119","113105","1","0","","2018/9/28 18:10:38.2930000","1","2017/9/28 18:10:38.2900000","9999/12/31 23:59:59.9970000"
"53","LCC-1","LCC-1","IIN023122","113248","1","0","","2018/9/28 18:10:38.3030000","1","2017/9/28 18:10:38.3000000","9999/12/31 23:59:59.9970000"
"54","LCC-9","LCC-9","","113251","1","0","","2018/9/28 18:10:38.3100000","1","2017/9/28 18:10:38.3100000","9999/12/31 23:59:59.9970000"
"55","LCF-7","LCF-7","IIN049713","113250","1","0","","2018/9/28 18:10:38.3200000","1","2017/9/28 18:10:38.3200000","9999/12/31 23:59:59.9970000"
"56","LCG-1","LCG-1","IIN023049","113237","1","0","","2018/9/28 18:10:38.3300000","1","2017/9/28 18:10:38.3270000","9999/12/31 23:59:59.9970000"
"58","LCG-2","LCG-2","IIN023050","113238","1","0","","2018/9/28 18:10:38.3370000","1","2017/9/28 18:10:38.3330000","9999/12/31 23:59:59.9970000"
"59","LCG-4","LCG-4","IIN023051","113239","1","0","","2018/9/28 18:10:38.3430000","1","2017/9/28 18:10:38.3430000","9999/12/31 23:59:59.9970000"
"60","LCG-5","LCG-5","IIN023052","113240","1","0","","2018/9/28 18:10:38.3500000","1","2017/9/28 18:10:38.3500000","9999/12/31 23:59:59.9970000"
"62","LTR","LTR","IIN023146","113110","1","0","","2018/9/28 18:10:38.3600000","1","2017/9/28 18:10:38.3570000","9999/12/31 23:59:59.9970000"
"63","LTR-3","LTR-3","IIN023209","","1","0","","2018/9/28 18:10:38.3670000","1","2017/9/28 18:10:38.3630000","9999/12/31 23:59:59.9970000"
"64","MCR-5","MCR-5","IIN023110","113128","1","0","","2018/9/28 18:10:38.3770000","1","2017/9/28 18:10:38.3770000","9999/12/31 23:59:59.9970000"
"65","MCR-7","MCR-7","IIN054776","113127","1","0","","2018/9/28 18:10:38.3830000","1","2017/9/28 18:10:38.3830000","9999/12/31 23:59:59.9970000"
"66","Micromix","Micromix","IIN023153","","1","0","","2018/9/28 18:10:38.3930000","1","2017/9/28 18:10:38.3900000","9999/12/31 23:59:59.9970000"
"67","NaCl","Fine Salt","IIN023188","113103","1","0","","2018/9/28 18:10:38.4000000","1","2017/9/28 18:10:38.4000000","9999/12/31 23:59:59.9970000"
"69","QSR-2","QSR-2","IIN023178","113122","1","0","","2018/9/28 18:10:38.4100000","1","2017/9/28 18:10:38.4100000","9999/12/31 23:59:59.9970000"
"70","Sand","Sand","IIN053761","","1","0","","2018/9/28 18:10:38.4200000","1","2017/9/28 18:10:38.4200000","9999/12/31 23:59:59.9970000"
"71","Sanlite","Sanlite","IIN023190","","1","0","","2018/9/28 18:10:38.4300000","1","2017/9/28 18:10:38.4300000","9999/12/31 23:59:59.9970000"
