"id","system_id","version","modified_user_id","modified_user_name","modified_datetime","operation_type","effective_start_datetime","effective_end_datetime","entity_status","owner_id","Name","Description","IsBaseEligible","BlendRecipeId","BaseBlendTypeId","IsThixotropic","IsAdditiveEligible","AdditiveTypeDescription","ProductId","AdditiveTypeSystemId","BlendPrimaryCategoryName","BagSize","Density","ProductName","BlendPrimaryCategoryDescription","BlendPrimaryCategoryId","SpecificGravity","AdditiveTypeId","BlendRecipeSystemId","BlendRecipeDescription","BaseBlendTypeName","BlendPrimaryCategorySystemId","BaseBlendTypeSystemId","ProductDescription","BaseBlendTypeDescription","BlendRecipeName","Yield","ProductSystemId","MixWater","AdditiveTypeName","AERCode"
1,1,1,"0","",2018-09-28 18:10:42,1,2017-09-28 18:10:42,9999-12-31 23:59:59,0,0,Class A,"",1,,152,0,0,,1,,Cementing Blend,,1880.00,Class A,,1,3.15,,,,Class A Cement,1,68,Class A Cement,Class A Cement,,0.78,1,,,"1"
2,2,1,"0","",2018-09-28 18:10:42,1,2017-09-28 18:10:42,9999-12-31 23:59:59,0,0,Class C,"",1,,153,0,0,,2,,Cementing Blend,,1780.00,Class C,,1,3.19,,,,Class C Cement,1,69,Class C Cement,Class C Cement,,0.88,2,,,"3"
3,3,1,"0","",2018-09-28 18:10:42,1,2017-09-28 18:10:42,9999-12-31 23:59:59,0,0,Class G,"",1,,154,0,0,,3,,Cementing Blend,,1901.00,Class G,,1,3.19,,,,Class G Cement,1,70,Class G Cement,Class G Cement,,0.76,3,,,"4"
4,4,1,"0","",2018-09-28 18:10:42,1,2017-09-28 18:10:42,9999-12-31 23:59:59,0,0,Intercem,"",1,,,1,0,,4,,Cementing Blend,,1750.00,Intercem,,1,2.92,,,,,1,,Intercem,,,0.88,4,,,"1"
5,5,1,"0","",2018-09-28 18:10:42,1,2017-09-28 18:10:42,9999-12-31 23:59:59,0,0,ASM-3,"",0,,,0,1,ASM-3,6,202,,,,ASM-3,,,2.52,225,,,,,,ASM-3,,,,6,,ASM-3,""
6,6,1,"0","",2018-09-28 18:10:42,1,2017-09-28 18:10:42,9999-12-31 23:59:59,0,0,ASM-5,"",0,,,0,1,ASM-5,7,146,,,,ASM-5,,,1.32,168,,,,,,ASM-5,,,,7,,ASM-5,""
7,7,1,"0","",2018-09-28 18:10:42,1,2017-09-28 18:10:42,9999-12-31 23:59:59,0,0,Barite,"",0,,,0,1,Barite,8,17,,,,Barite,,,4.23,27,,,,,,Barite,,,,8,,Barite,""
8,8,1,"0","",2018-09-28 18:10:42,1,2017-09-28 18:10:42,9999-12-31 23:59:59,0,0,CaCl2,"",0,,,0,1,CaCl2,9,22,,,,CaCl2,,,2.19,32,,,,,,CaCl2,,,,9,,CaCl2,""
9,9,1,"0","",2018-09-28 18:10:42,1,2017-09-28 18:10:42,9999-12-31 23:59:59,0,0,CDF-4P,"",0,,,0,1,,10,,,,,CDF-4P,,,1.61,,,,,,,CDF-4P,,,,10,,,""
10,10,1,"0","",2018-09-28 18:10:42,1,2017-09-28 18:10:42,9999-12-31 23:59:59,0,0,CDF-6P,"",0,,,0,1,CDF-6P,11,204,,,,CDF-6P,,,1.70,229,,,,,,CDF-6P,,,,11,,CDF-6P,""
12,11,1,"0","",2018-09-28 18:10:42,1,2017-09-28 18:10:42,9999-12-31 23:59:59,0,0,CDM-2,"",0,,,0,1,CDM-2,13,177,,,,CDM-2,,,0.32,199,,,,,,CDM-2,,,,12,,CDM-2,""
