"id","system_id","version","modified_user_id","modified_user_name","modified_datetime","operation_type","effective_start_datetime","effective_end_datetime","entity_status","owner_id","name","description"
1,1,1,"0","",2008-03-20 15:21:11,0,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,"",""
2,2,1,"15112",Awang,2017-01-16 00:00:00,3,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,"0:1:0 'A'","0:1:0 'A'"
3,3,1,"15112",Awang,2017-01-16 00:00:00,3,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,"0:1:0 'C'","0:1:0 'C'"
4,4,1,"15112",Awang,2017-01-16 00:00:00,3,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,"0:1:0 'G'","0:1:0 'G'"
5,5,1,"15112",Awang,2017-01-16 00:00:00,3,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,"0:1:2 'G'","0:1:2 'G'"
6,6,1,"15112",Awang,2017-01-16 00:00:00,3,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,"0:1:4 'G'","0:1:4 'G'"
7,7,1,"15112",Awang,2017-01-16 00:00:00,3,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,"0:1:8 'G'","0:1:8 'G'"
8,8,1,"15112",Awang,2017-01-16 00:00:00,3,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,"0:1:12 'G'","0:1:12 'G'"
9,9,1,"15112",Awang,2017-01-16 00:00:00,3,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,"1:1:4 'G'","1:1:4 'G'"
10,10,1,"15112",Awang,2017-01-16 00:00:00,3,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,"1:1:6 'G'","1:1:6 'G'"
11,11,1,"15112",Awang,2017-01-16 00:00:00,3,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,"1:1:8 'G'","1:1:8 'G'"
12,12,1,"15112",Awang,2017-01-16 00:00:00,3,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,"1:1:12 'G'","1:1:12 'G'"
13,13,1,"15112",Awang,2017-01-16 00:00:00,3,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,"2:1:0 'G'","2:1:0 'G'"
14,14,1,"15112",Awang,2017-01-16 00:00:00,3,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,"2:1:12 'G'","2:1:12 'G'"
16,15,1,"15112",Awang,2017-01-16 00:00:00,3,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,Expandomix,Expandomix
17,16,1,"15112",Awang,2017-01-16 00:00:00,3,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,Expandomix HT,Expandomix HT
19,17,1,"15112",Awang,2017-01-16 00:00:00,3,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,Glacial Mix,Glacial Mix
21,18,1,"15112",Awang,2017-01-16 00:00:00,3,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,ThixLite HT (AB),ThixLite HT (AB)
26,19,1,"15112",Awang,2017-01-16 00:00:00,3,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,Thermal 40,Thermal 40
28,20,1,"15112",Awang,2017-01-16 00:00:00,3,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,Thermal 40 EXP,Thermal 40 EXP
41,21,1,"0","",2008-03-20 15:21:11,0,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,Superlite 12,Superlite 12
42,22,1,"15112",Awang,2017-01-16 00:00:00,3,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,Superlite 13,Superlite 13
43,23,1,"0","",2008-03-20 15:21:11,0,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,Superlite 14,Superlite 14
48,24,1,"15112",Awang,2017-01-16 00:00:00,3,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,RAS II,RAS II
49,25,1,"0","",2008-03-20 15:21:11,0,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,Water,Water
50,26,1,"1281",mge,2008-07-07 09:12:20,3,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,SAPP Flush,SAPP Flush
52,27,1,"15112",Awang,2017-01-16 00:00:00,3,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,Wellseal,Wellseal
53,28,1,"0","",2008-03-20 15:21:11,0,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,Visweep,Visweep
54,29,1,"1281",mge,2008-07-07 09:13:22,3,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,Invert Preflush,Invert Preflush
55,30,1,"0","",2008-03-20 15:21:11,0,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,Invert Spacer,Invert Spacer
56,31,1,"15112",Awang,2017-01-16 00:00:00,3,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,"1:1:0 'G'","1:1:0 'G'"
57,32,1,"15112",Awang,2017-01-16 00:00:00,3,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,"1:1:2 'G'","1:1:2 'G'"
58,33,1,"0","",2008-03-20 15:21:11,0,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,Diesel,Diesel
59,34,1,"0","",2008-03-20 15:21:11,0,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,Base Oil,Base Oil
60,35,1,"15112",Awang,2017-01-16 00:00:00,3,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,Expandomix LWL,Expandomix LWL
62,36,1,"15112",Awang,2017-01-16 00:00:00,3,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,SSi,SSi
64,37,1,"0","",2008-03-20 15:21:11,0,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,"10% Formic Acid","10% Formic Acid"
65,38,1,"0","",2008-03-20 15:21:11,0,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,"10% HCl","10% HCl"
66,39,1,"0","",2008-03-20 15:21:11,0,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,"15% HCl","15% HCl"
67,40,1,"0","",2008-03-20 15:21:11,0,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,"20% HCl","20% HCl"
68,41,1,"0","",2008-03-20 15:21:11,0,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,"28% HCl","28% HCl"
69,42,1,"0","",2008-03-20 15:21:11,0,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,"34% HCl","34% HCl"
70,43,1,"0","",2008-03-20 15:21:11,0,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,"5% HCl","5% HCl"
71,44,1,"0","",2008-03-20 15:21:11,0,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,"60% Acetic Acid (HAc)","60% Acetic Acid (HAc)"
72,45,1,"0","",2008-03-20 15:21:11,0,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,"7.5% HCl","7.5% HCl"
