"id","system_id","version","modified_user_id","modified_user_name","modified_datetime","operation_type","effective_start_datetime","effective_end_datetime","entity_status","owner_id","name","description"
1,1,1,"0","",2018-09-10 12:01:17,1,2017-09-10 12:01:17,9999-12-31 23:59:59,0,0,"0:1:0 'A'",
2,2,1,"0","",2018-09-10 12:01:17,1,2017-09-10 12:01:17,9999-12-31 23:59:59,0,0,"0:1:0 'C'",
3,3,1,"0","",2018-09-10 12:01:17,1,2017-09-10 12:01:17,9999-12-31 23:59:59,0,0,"0:1:0 'G'",
4,4,1,"0","",2018-09-10 12:01:17,1,2017-09-10 12:01:17,9999-12-31 23:59:59,0,0,"0:1:12 'G'",
5,5,1,"0","",2018-09-10 12:01:17,1,2017-09-10 12:01:17,9999-12-31 23:59:59,0,0,"0:1:2 'G'",
6,6,1,"0","",2018-09-10 12:01:17,1,2017-09-10 12:01:17,9999-12-31 23:59:59,0,0,"0:1:4 'G'",
7,7,1,"0","",2018-09-10 12:01:17,1,2017-09-10 12:01:17,9999-12-31 23:59:59,0,0,"0:1:6 'G'",
8,8,1,"0","",2018-09-10 12:01:17,1,2017-09-10 12:01:17,9999-12-31 23:59:59,0,0,"0:1:8 'G'",
9,9,1,"0","",2018-09-10 12:01:18,1,2017-09-10 12:01:18,9999-12-31 23:59:59,0,0,"1:1:0 'G'",
10,10,1,"0","",2018-09-10 12:01:18,1,2017-09-10 12:01:18,9999-12-31 23:59:59,0,0,"1:1:0 'G' (Sask)",
11,11,1,"0","",2018-09-10 12:01:18,1,2017-09-10 12:01:18,9999-12-31 23:59:59,0,0,"1:1:12 'G'",
12,12,1,"0","",2018-09-10 12:01:18,1,2017-09-10 12:01:18,9999-12-31 23:59:59,0,0,"1:1:12 'G' (Sask)",
13,13,1,"0","",2018-09-10 12:01:18,1,2017-09-10 12:01:18,9999-12-31 23:59:59,0,0,"1:1:2 'G'",
14,14,1,"0","",2018-09-10 12:01:18,1,2017-09-10 12:01:18,9999-12-31 23:59:59,0,0,"1:1:2 'G' (Sask)",
15,15,1,"0","",2018-09-10 12:01:18,1,2017-09-10 12:01:18,9999-12-31 23:59:59,0,0,"1:1:4 'G'",
16,16,1,"0","",2018-09-10 12:01:18,1,2017-09-10 12:01:18,9999-12-31 23:59:59,0,0,"1:1:4 'G' (Sask)",
17,17,1,"0","",2018-09-10 12:01:18,1,2017-09-10 12:01:18,9999-12-31 23:59:59,0,0,"1:1:6 'G'",
18,18,1,"0","",2018-09-10 12:01:18,1,2017-09-10 12:01:18,9999-12-31 23:59:59,0,0,"1:1:6 'G' (Sask)",
19,19,1,"0","",2018-09-10 12:01:18,1,2017-09-10 12:01:18,9999-12-31 23:59:59,0,0,"1:1:8 'G'",
20,20,1,"0","",2018-09-10 12:01:18,1,2017-09-10 12:01:18,9999-12-31 23:59:59,0,0,"1:1:8 'G' (Sask)",
21,21,1,"0","",2018-09-10 12:01:18,1,2017-09-10 12:01:18,9999-12-31 23:59:59,0,0,"2:1:0 'G'",
22,22,1,"0","",2018-09-10 12:01:18,1,2017-09-10 12:01:18,9999-12-31 23:59:59,0,0,"2:1:0 'G' (Sask)",
23,23,1,"0","",2018-09-10 12:01:18,1,2017-09-10 12:01:18,9999-12-31 23:59:59,0,0,"2:1:12 'G'",
24,24,1,"0","",2018-09-10 12:01:18,1,2017-09-10 12:01:18,9999-12-31 23:59:59,0,0,"2:1:12 'G' (Sask)",
25,25,1,"0","",2018-09-10 12:01:18,1,2017-09-10 12:01:18,9999-12-31 23:59:59,0,0,"2:1:2 'G'",
26,26,1,"0","",2018-09-10 12:01:18,1,2017-09-10 12:01:18,9999-12-31 23:59:59,0,0,"2:1:2 'G' (Sask)",
27,27,1,"0","",2018-09-10 12:01:18,1,2017-09-10 12:01:18,9999-12-31 23:59:59,0,0,"2:1:4 'G'",
28,28,1,"0","",2018-09-10 12:01:18,1,2017-09-10 12:01:18,9999-12-31 23:59:59,0,0,"2:1:4 'G' (Sask)",
29,29,1,"0","",2018-09-10 12:01:18,1,2017-09-10 12:01:18,9999-12-31 23:59:59,0,0,"2:1:6 'G'",
30,30,1,"0","",2018-09-10 12:01:18,1,2017-09-10 12:01:18,9999-12-31 23:59:59,0,0,"2:1:6 'G' (Sask)",
31,31,1,"0","",2018-09-10 12:01:18,1,2017-09-10 12:01:18,9999-12-31 23:59:59,0,0,"2:1:8 'G'",
32,32,1,"0","",2018-09-10 12:01:18,1,2017-09-10 12:01:18,9999-12-31 23:59:59,0,0,"2:1:8 'G' (Sask)",
33,33,1,"0","",2018-09-10 12:01:18,1,2017-09-10 12:01:18,9999-12-31 23:59:59,0,0,ASC IV,
34,34,1,"0","",2018-09-10 12:01:18,1,2017-09-10 12:01:18,9999-12-31 23:59:59,0,0,Expandomix,
35,35,1,"0","",2018-09-10 12:01:19,1,2017-09-10 12:01:19,9999-12-31 23:59:59,0,0,EXPANDOmix PRO HT,
36,36,1,"0","",2018-09-10 12:01:24,1,2017-09-10 12:01:24,9999-12-31 23:59:59,0,0,EXPANDOmix PRO HT (Sask),
37,37,1,"0","",2018-09-10 12:01:19,1,2017-09-10 12:01:19,9999-12-31 23:59:59,0,0,EXPANDOmix PRO LT,
38,38,1,"0","",2018-09-10 12:01:24,1,2017-09-10 12:01:24,9999-12-31 23:59:59,0,0,EXPANDOmix PRO LT (Sask),
39,39,1,"0","",2018-09-10 12:01:18,1,2017-09-10 12:01:18,9999-12-31 23:59:59,0,0,Expandomix HT,
40,40,1,"0","",2018-09-10 12:01:18,1,2017-09-10 12:01:18,9999-12-31 23:59:59,0,0,Expandomix HT (SK),
41,41,1,"0","",2018-09-10 12:01:19,1,2017-09-10 12:01:19,9999-12-31 23:59:59,0,0,Expandomix LWL,
42,42,1,"0","",2018-09-10 12:01:19,1,2017-09-10 12:01:19,9999-12-31 23:59:59,0,0,Glacial Mix,
43,43,1,"0","",2018-09-10 12:01:19,1,2017-09-10 12:01:19,9999-12-31 23:59:59,0,0,iBond,
44,44,1,"0","",2018-09-10 12:01:19,1,2017-09-10 12:01:19,9999-12-31 23:59:59,0,0,iGain (SK),
45,45,1,"0","",2018-09-10 12:01:19,1,2017-09-10 12:01:19,9999-12-31 23:59:59,0,0,iGain (AB),
46,46,1,"0","",2018-09-10 12:01:19,1,2017-09-10 12:01:19,9999-12-31 23:59:59,0,0,iPrime (AB),
47,47,1,"0","",2018-09-10 12:01:19,1,2017-09-10 12:01:19,9999-12-31 23:59:59,0,0,iPrime (SK),
48,48,1,"0","",2018-09-10 12:01:19,1,2017-09-10 12:01:19,9999-12-31 23:59:59,0,0,LCS 1600,
49,49,1,"0","",2018-09-10 12:01:19,1,2017-09-10 12:01:19,9999-12-31 23:59:59,0,0,LCS 1820,
50,50,1,"0","",2018-09-10 12:01:19,1,2017-09-10 12:01:19,9999-12-31 23:59:59,0,0,LITEmix 1325 (AB),
51,51,1,"0","",2018-09-10 12:01:19,1,2017-09-10 12:01:19,9999-12-31 23:59:59,0,0,LITEmix 1325 (SK),
52,52,1,"0","",2018-09-10 12:01:19,1,2017-09-10 12:01:19,9999-12-31 23:59:59,0,0,LITEmix 1400 (AB),
53,53,1,"0","",2018-09-10 12:01:20,1,2017-09-10 12:01:20,9999-12-31 23:59:59,0,0,LITEmix 1400 (SK),
54,54,1,"0","",2018-09-10 12:01:20,1,2017-09-10 12:01:20,9999-12-31 23:59:59,0,0,LITEmix EC,
55,55,1,"0","",2018-09-10 12:01:20,1,2017-09-10 12:01:20,9999-12-31 23:59:59,0,0,PRODUCTIONmix 1500 PRO ,
56,56,1,"0","",2018-09-10 12:01:20,1,2017-09-10 12:01:20,9999-12-31 23:59:59,0,0,PRODUCTIONmix 1600,
57,57,1,"0","",2018-09-10 12:01:20,1,2017-09-10 12:01:20,9999-12-31 23:59:59,0,0,PRODUCTIONmix 1600 (SK),
58,58,1,"0","",2018-09-10 12:01:20,1,2017-09-10 12:01:20,9999-12-31 23:59:59,0,0,PRODUCTIONmix 1725,
59,59,1,"0","",2018-09-10 12:01:20,1,2017-09-10 12:01:20,9999-12-31 23:59:59,0,0,PRODUCTIONmix EC,
60,60,1,"0","",2018-09-10 12:01:20,1,2017-09-10 12:01:20,9999-12-31 23:59:59,0,0,PRODUCTIONmix EC (Sask),
61,61,1,"0","",2018-09-10 12:01:20,1,2017-09-10 12:01:20,9999-12-31 23:59:59,0,0,PRODUCTIONmix LW,
62,62,1,"0","",2018-09-10 12:01:20,1,2017-09-10 12:01:20,9999-12-31 23:59:59,0,0,PRODUCTIONmix LW (Sask),
63,63,1,"0","",2018-09-10 12:01:20,1,2017-09-10 12:01:20,9999-12-31 23:59:59,0,0,PRODUCTIONmix THX ,
64,64,1,"0","",2018-09-10 12:01:20,1,2017-09-10 12:01:20,9999-12-31 23:59:59,0,0,Proteus Core,
65,65,1,"0","",2018-09-10 12:01:20,1,2017-09-10 12:01:20,9999-12-31 23:59:59,0,0,Proteus LCS,
66,66,1,"0","",2018-09-10 12:01:20,1,2017-09-10 12:01:20,9999-12-31 23:59:59,0,0,Proteus Pro,
67,67,1,"0","",2018-09-10 12:01:21,1,2017-09-10 12:01:21,9999-12-31 23:59:59,0,0,RAS II,
68,68,1,"0","",2018-09-10 12:01:21,1,2017-09-10 12:01:21,9999-12-31 23:59:59,0,0,SanSeal,
69,69,1,"0","",2018-09-10 12:01:21,1,2017-09-10 12:01:21,9999-12-31 23:59:59,0,0,SanSeal HT,
70,70,1,"0","",2018-09-10 12:01:21,1,2017-09-10 12:01:21,9999-12-31 23:59:59,0,0,SSi,
71,71,1,"0","",2018-09-10 12:01:21,1,2017-09-10 12:01:21,9999-12-31 23:59:59,0,0,Superlite 13,
72,72,1,"0","",2018-09-10 12:01:21,1,2017-09-10 12:01:21,9999-12-31 23:59:59,0,0,Superlite 13 (CDM-5),
73,73,1,"0","",2018-09-10 12:01:21,1,2017-09-10 12:01:21,9999-12-31 23:59:59,0,0,SUPERLITEmix PRO HT ,
74,74,1,"0","",2018-09-10 12:01:21,1,2017-09-10 12:01:21,9999-12-31 23:59:59,0,0,SUPERLITEmix PRO ,
75,75,1,"0","",2018-09-10 12:01:21,1,2017-09-10 12:01:21,9999-12-31 23:59:59,0,0,SURFACEmix LW (SK) ,
76,76,1,"0","",2018-09-10 12:01:24,1,2017-09-10 12:01:24,9999-12-31 23:59:59,0,0,SURFACEmix LW PRO,
77,77,1,"0","",2018-09-10 12:01:21,1,2017-09-10 12:01:21,9999-12-31 23:59:59,0,0,SURFACEmix LW PRO (SK) ,
78,78,1,"0","",2018-09-10 12:01:21,1,2017-09-10 12:01:21,9999-12-31 23:59:59,0,0,SURFACEmix PRO,
79,79,1,"0","",2018-09-10 12:01:21,1,2017-09-10 12:01:21,9999-12-31 23:59:59,0,0,SURFACEmix PRO SL,
80,80,1,"0","",2018-09-10 12:01:21,1,2017-09-10 12:01:21,9999-12-31 23:59:59,0,0,SURFACEmix SLW,
81,81,1,"0","",2018-09-10 12:01:21,1,2017-09-10 12:01:21,9999-12-31 23:59:59,0,0,SurfLite (SK) ,
82,82,1,"0","",2018-09-10 12:01:21,1,2017-09-10 12:01:21,9999-12-31 23:59:59,0,0,Thermal 40,
83,83,1,"0","",2018-09-10 12:01:21,1,2017-09-10 12:01:21,9999-12-31 23:59:59,0,0,Thermal 40 EXP,
84,84,1,"0","",2018-09-10 12:01:21,1,2017-09-10 12:01:21,9999-12-31 23:59:59,0,0,THERMAmix EC,
85,85,1,"0","",2018-09-10 12:01:21,1,2017-09-10 12:01:21,9999-12-31 23:59:59,0,0,THERMAmix LT,
87,86,1,"0","",2018-09-10 12:01:21,1,2017-09-10 12:01:21,9999-12-31 23:59:59,0,0,ThixLite HT (AB) ,
88,87,1,"0","",2018-09-10 12:01:21,1,2017-09-10 12:01:21,9999-12-31 23:59:59,0,0,ThixLite HT (SK) ,
89,88,1,"0","",2018-09-10 12:01:22,1,2017-09-10 12:01:22,9999-12-31 23:59:59,0,0,SURFACEmix LW PRO SL,
90,89,1,"0","",2018-09-10 12:01:22,1,2017-09-10 12:01:22,9999-12-31 23:59:59,0,0,LDP-C-0117,
91,90,1,"0","",2018-09-10 12:01:22,1,2017-09-10 12:01:22,9999-12-31 23:59:59,0,0,SUPERLITEmix 1160,
