"id","system_id","version","modified_user_id","modified_user_name","modified_datetime","operation_type","effective_start_datetime","effective_end_datetime","entity_status","owner_id","name","description"
1,1,1,"0",,2008-03-20 15:21:11,,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,Length,
2,2,1,"0",,2008-03-20 15:21:11,,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,Weight,
3,3,1,"0",,2008-03-20 15:21:11,,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,Volume,
4,4,1,"0",,2008-03-20 15:21:11,,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,Pressure,
5,5,1,"0",,2008-03-20 15:21:11,,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,Temperature,
6,6,1,"0",,2008-03-20 15:21:11,,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,Concentration,
7,7,1,"0",,2008-03-20 15:21:11,,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,BlendAdditive,
8,8,1,"0",,2008-03-20 15:21:11,,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,ChemicalAdditive,
9,9,1,"0",,2008-03-20 15:21:11,,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,ChemicalAdditiveUsed,
10,10,1,"0",,2008-03-20 15:21:11,,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,CoiledTubingChemical,
11,11,1,"0",,2008-03-20 15:21:11,,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,TreatmentRate,
12,12,1,"0",,2008-03-20 15:21:11,,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,TreatmentPressure,
13,13,1,"0",,2008-03-20 15:21:11,,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,BlendAmount,
