"id","system_id","version","modified_user_id","modified_user_name","modified_datetime","operation_type","effective_start_datetime","effective_end_datetime","entity_status","owner_id","name","description","IsThirdPartyProvided","IsFreightCostIncluded","PriceCode","InventoryNumber"
1,1,1,"0","",2018-09-28 18:10:37,1,2017-09-28 18:10:37,9999-12-31 23:59:59,0,0,Class A,Class A Cement,0,0,113049,IIN023072
2,2,1,"0","",2018-09-28 18:10:37,1,2017-09-28 18:10:37,9999-12-31 23:59:59,0,0,Class C,Class C Cement,0,0,,IIN023073
3,3,1,"0","",2018-09-28 18:10:37,1,2017-09-28 18:10:37,9999-12-31 23:59:59,0,0,Class G,Class G Cement,0,0,113000,IIN023074
4,4,1,"0","",2018-09-28 18:10:37,1,2017-09-28 18:10:37,9999-12-31 23:59:59,0,0,Intercem,Intercem,0,0,,IIN023116
5,5,1,"0","",2018-09-28 18:10:37,1,2017-09-28 18:10:37,9999-12-31 23:59:59,0,0,Sanseal,Sanseal,0,0,113117,IIN023192
6,6,1,"0","",2018-09-28 18:10:37,1,2017-09-28 18:10:37,9999-12-31 23:59:59,0,0,ASM-3,ASM-3,0,0,113414,IIN023131
7,7,1,"0","",2018-09-28 18:10:37,1,2017-09-28 18:10:37,9999-12-31 23:59:59,0,0,ASM-5,ASM-5,0,0,113417,IIN023234
8,8,1,"0","",2018-09-28 18:10:37,1,2017-09-28 18:10:37,9999-12-31 23:59:59,0,0,Barite,Barite,0,0,113230,IIN023019
9,9,1,"0","",2018-09-28 18:10:37,1,2017-09-28 18:10:37,9999-12-31 23:59:59,0,0,CaCl2,CaCl2,0,0,113101,IIN023054
10,10,1,"0","",2018-09-28 18:10:37,1,2017-09-28 18:10:37,9999-12-31 23:59:59,0,0,CDF-4P,CDF-4P,0,0,113263,IIN023056
11,11,1,"0","",2018-09-28 18:10:37,1,2017-09-28 18:10:37,9999-12-31 23:59:59,0,0,CDF-6P,CDF-6P,0,0,113267,IIN052225
13,12,1,"0","",2018-09-28 18:10:37,1,2017-09-28 18:10:37,9999-12-31 23:59:59,0,0,CDM-2,CDM-2,0,0,113418,IIN023036
