"id","system_id","version","modified_user_id","modified_user_name","modified_datetime","operation_type","effective_start_datetime","effective_end_datetime","entity_status","owner_id","name","description","SbsReleasedProductId","Price","InventoryNumber","ServicePoint","PriceUnit","UnitId"
1,1,1,"0","",2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,0,,,"",5.15,IIN023003,D603,1.00,l
2,2,1,"0","",2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,0,,,"",5.04,IIN023003,D604,1.00,l
3,3,1,"0","",2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,0,,,"",5.17,IIN023003,D615,1.00,l
4,4,1,"0","",2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,0,,,"",5.25,IIN023003,D616,1.00,l
5,5,1,"0","",2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,0,,,"",5.50,IIN023005,D604,1.00,l
6,6,1,"0","",2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,0,,,"",4.16,IIN023014,D604,1.00,l
7,7,1,"0","",2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,0,,,"",4.14,IIN023014,D616,1.00,l
8,8,1,"0","",2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,0,,,"",3.86,IIN023017,D603,1.00,l
9,9,1,"0","",2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,0,,,"",3.85,IIN023017,D604,1.00,l
10,10,1,"0","",2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,0,,,"",3.96,IIN023017,D607,1.00,l
11,11,1,"0","",2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,0,,,"",3.85,IIN023017,D612,1.00,l
12,12,1,"0","",2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,0,,,"",3.95,IIN023017,D615,1.00,l
13,13,1,"0","",2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,0,,,"",4.08,IIN023017,D616,1.00,l
14,14,1,"0","",2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,0,,,"",0.46,IIN023019,D606,1.00,kg
