"ID","SYSTEM_ID","version","MODIFIED_USER_ID","MODIFIED_USER_NAME","MODIFIED_DATE_TIME","OPERATION_TYPE","EFFECTIVE_START_DATETIME","EFFECTIVE_END_DATETIME","ENTITY_STATUS","IsBaseEligible","BlendPrimaryCategoryId","BlendPrimaryCategorySystemId","IsThixotropic","IsAdditiveEligible","BagSize","AdditiveTypeId","AdditiveTypeSystemId","DESCRIPTION","Density","PRODUCTID","ProductSystemId","Yield","NAME","MixWater","AERCode","SpecificGravity","BlendRecipeId","BlendRecipeSystemId","BlendFluidTypeId","BlendFluidTypeSystemId"
1,"",1,0,,2018-09-28 18:10:42,1,2017-09-28 18:10:42,9999-12-31 23:59:59,0,1,1,1,0,0,,,,,1880,1,1,0.776,Class A,,"1",3.152,,,152,152
2,"",1,0,,2018-09-28 18:10:42,1,2017-09-28 18:10:42,9999-12-31 23:59:59,0,1,1,1,0,0,,,,,1780,2,2,0.88,Class C,,"3",3.192,,,153,153
3,"",1,0,,2018-09-28 18:10:42,1,2017-09-28 18:10:42,9999-12-31 23:59:59,0,1,1,1,0,0,,,,,1901,3,3,0.762,Class G,,"4",3.188,,,154,154
4,"",1,0,,2018-09-28 18:10:42,1,2017-09-28 18:10:42,9999-12-31 23:59:59,0,1,1,1,1,0,,,,,1750,4,4,0.876,Intercem,,"1",2.916,,,,
5,"",1,0,,2018-09-28 18:10:42,1,2017-09-28 18:10:42,9999-12-31 23:59:59,0,0,,,0,1,,225,225,,,6,6,,ASM-3,,,2.519,,,,
6,"",1,0,,2018-09-28 18:10:42,1,2017-09-28 18:10:42,9999-12-31 23:59:59,0,0,,,0,1,,168,168,,,7,7,,ASM-5,,,1.321,,,,
7,"",1,0,,2018-09-28 18:10:42,1,2017-09-28 18:10:42,9999-12-31 23:59:59,0,0,,,0,1,,27,27,,,8,8,,Barite,,,4.23,,,,
8,"",1,0,,2018-09-28 18:10:42,1,2017-09-28 18:10:42,9999-12-31 23:59:59,0,0,,,0,1,,32,32,,,9,9,,CaCl2,,,2.191,,,,
9,"",1,0,,2018-09-28 18:10:42,1,2017-09-28 18:10:42,9999-12-31 23:59:59,0,0,,,0,1,,,,,,10,10,,CDF-4P,,,1.612,,,,
10,"",1,0,,2018-09-28 18:10:42,1,2017-09-28 18:10:42,9999-12-31 23:59:59,0,0,,,0,1,,229,229,,,11,11,,CDF-6P,,,1.6951,,,,
