"ID","SYSTEM_ID","version","MODIFIED_USER_ID","MODIFIED_USER_NAME","MODIFIED_DATE_TIME","OPERATION_TYPE","EFFECTIVE_START_DATETIME","EFFECTIVE_END_DATETIME","ENTITY_STATUS","Amount","AdditiveBlendMethod","RootId","BlendChemicalId","BlendChemicalSystemId","IsBaseBlend","MeasureUnitId","BlendRecipe1Id","BlendRecipeSystemId","AdditionMethod","ParentId"
1,"",1,0,,2018-09-28 18:10:49,1,2017-09-28 18:10:49,9999-12-31 23:59:59,0,1000,1,1,1,1,1,1,1,1,2,1
2,"",1,0,,2018-09-28 18:10:49,1,2017-09-28 18:10:49,9999-12-31 23:59:59,0,1000,1,2,2,2,1,1,2,2,2,2
3,"",1,0,,2018-09-28 18:10:49,1,2017-09-28 18:10:49,9999-12-31 23:59:59,0,1000,1,3,3,3,1,1,3,3,2,3
4,"",1,0,,2018-09-28 18:10:49,1,2017-09-28 18:10:49,9999-12-31 23:59:59,0,1000,1,4,78,78,1,1,4,4,1,4
5,"",1,0,,2018-09-28 18:10:49,1,2017-09-28 18:10:49,9999-12-31 23:59:59,0,120,1,4,41,41,0,1,4,4,1,4
9,"",1,0,,2018-09-28 18:10:54,1,2017-09-28 18:10:54,9999-12-31 23:59:59,0,641,1,76,2,2,1,1,76,76,2,76
10,"",1,0,,2018-09-28 18:10:54,1,2017-09-28 18:10:54,9999-12-31 23:59:59,0,335,1,76,35,35,0,1,76,76,2,76
11,"",1,0,,2018-09-28 18:10:54,1,2017-09-28 18:10:54,9999-12-31 23:59:59,0,14,1,76,69,69,0,1,76,76,2,76
12,"",1,0,,2018-09-28 18:10:54,1,2017-09-28 18:10:54,9999-12-31 23:59:59,0,10,1,76,68,68,0,1,76,76,2,76
13,"",1,0,,2018-09-28 18:10:49,1,2017-09-28 18:10:49,9999-12-31 23:59:59,0,620,1,9,78,78,1,1,9,9,2,9
14,"",1,0,,2018-09-28 18:10:49,1,2017-09-28 18:10:49,9999-12-31 23:59:59,0,380,1,9,35,35,0,1,9,9,2,9
15,"",1,0,,2018-09-28 18:10:49,1,2017-09-28 18:10:49,9999-12-31 23:59:59,0,1000,1,11,84,84,1,1,11,11,1,11
16,"",1,0,,2018-09-28 18:10:49,1,2017-09-28 18:10:49,9999-12-31 23:59:59,0,120,1,11,41,41,0,1,11,11,1,11
17,"",1,0,,2018-09-28 18:10:49,1,2017-09-28 18:10:49,9999-12-31 23:59:59,0,1000,1,5,78,78,1,1,5,5,1,5
18,"",1,0,,2018-09-28 18:10:49,1,2017-09-28 18:10:49,9999-12-31 23:59:59,0,20,1,5,41,41,0,1,5,5,1,5
19,"",1,0,,2018-09-28 18:10:49,1,2017-09-28 18:10:49,9999-12-31 23:59:59,0,1000,1,6,78,78,1,1,6,6,1,6
