"ID","SYSTEM_ID","version","MODIFIED_USER_ID","MODIFIED_USER_NAME","MODIFIED_DATE_TIME","OPERATION_TYPE","EFFECTIVE_START_DATETIME","EFFECTIVE_END_DATETIME","ENTITY_STATUS","NAME","DESCRIPTION"
1,"",1,0,,2008-03-20 15:21:11,0,2016-06-01 00:00:00,9999-12-31 00:00:00,0,,
2,"",1,15112,Awang,2017-01-16 00:00:00,3,2016-06-01 00:00:00,9999-12-31 00:00:00,0,"0:1:0 'A'","0:1:0 'A'"
3,"",1,15112,Awang,2017-01-16 00:00:00,3,2016-06-01 00:00:00,9999-12-31 00:00:00,0,"0:1:0 'C'","0:1:0 'C'"
4,"",1,15112,Awang,2017-01-16 00:00:00,3,2016-06-01 00:00:00,9999-12-31 00:00:00,0,"0:1:0 'G'","0:1:0 'G'"
5,"",1,15112,Awang,2017-01-16 00:00:00,3,2016-06-01 00:00:00,9999-12-31 00:00:00,0,"0:1:2 'G'","0:1:2 'G'"
6,"",1,15112,Awang,2017-01-16 00:00:00,3,2016-06-01 00:00:00,9999-12-31 00:00:00,0,"0:1:4 'G'","0:1:4 'G'"
7,"",1,15112,Awang,2017-01-16 00:00:00,3,2016-06-01 00:00:00,9999-12-31 00:00:00,0,"0:1:8 'G'","0:1:8 'G'"
8,"",1,15112,Awang,2017-01-16 00:00:00,3,2016-06-01 00:00:00,9999-12-31 00:00:00,0,"0:1:12 'G'","0:1:12 'G'"
9,"",1,15112,Awang,2017-01-16 00:00:00,3,2016-06-01 00:00:00,9999-12-31 00:00:00,0,"1:1:4 'G'","1:1:4 'G'"
10,"",1,15112,Awang,2017-01-16 00:00:00,3,2016-06-01 00:00:00,9999-12-31 00:00:00,0,"1:1:6 'G'","1:1:6 'G'"
11,"",1,15112,Awang,2017-01-16 00:00:00,3,2016-06-01 00:00:00,9999-12-31 00:00:00,0,"1:1:8 'G'","1:1:8 'G'"
12,"",1,15112,Awang,2017-01-16 00:00:00,3,2016-06-01 00:00:00,9999-12-31 00:00:00,0,"1:1:12 'G'","1:1:12 'G'"
13,"",1,15112,Awang,2017-01-16 00:00:00,3,2016-06-01 00:00:00,9999-12-31 00:00:00,0,"2:1:0 'G'","2:1:0 'G'"
14,"",1,15112,Awang,2017-01-16 00:00:00,3,2016-06-01 00:00:00,9999-12-31 00:00:00,0,"2:1:12 'G'","2:1:12 'G'"
16,"",1,15112,Awang,2017-01-16 00:00:00,3,2016-06-01 00:00:00,9999-12-31 00:00:00,0,Expandomix,Expandomix
