"ID","SYSTEM_ID","version","MODIFIED_USER_ID","MODIFIED_USER_NAME","MODIFIED_DATE_TIME","OPERATION_TYPE","EFFECTIVE_START_DATETIME","EFFECTIVE_END_DATETIME","ENTITY_STATUS","NAME","DESCRIPTION","PriceCode","ISFREIGHTCOSTINCLUDED","ISTHIRDPARTYPROVIDED","INVENTORYNUMBER","SbsReleasedProductId"
1,"",1,0,,2018-09-28 18:10:37,1,2017-09-28 18:10:37,9999-12-31 23:59:59,0,Class A,Class A Cement,113049,0,0,IIN023072,""
2,"",1,0,,2018-09-28 18:10:37,1,2017-09-28 18:10:37,9999-12-31 23:59:59,0,Class C,Class C Cement,,0,0,IIN023073,""
3,"",1,0,,2018-09-28 18:10:37,1,2017-09-28 18:10:37,9999-12-31 23:59:59,0,Class G,Class G Cement,113000,0,0,IIN023074,""
4,"",1,0,,2018-09-28 18:10:37,1,2017-09-28 18:10:37,9999-12-31 23:59:59,0,Intercem,Intercem,,0,0,IIN023116,""
5,"",1,0,,2018-09-28 18:10:37,1,2017-09-28 18:10:37,9999-12-31 23:59:59,0,Sanseal,Sanseal,113117,0,0,IIN023192,""
6,"",1,0,,2018-09-28 18:10:37,1,2017-09-28 18:10:37,9999-12-31 23:59:59,0,ASM-3,ASM-3,113414,0,0,IIN023131,""
7,"",1,0,,2018-09-28 18:10:37,1,2017-09-28 18:10:37,9999-12-31 23:59:59,0,ASM-5,ASM-5,113417,0,0,IIN023234,""
8,"",1,0,,2018-09-28 18:10:37,1,2017-09-28 18:10:37,9999-12-31 23:59:59,0,Barite,Barite,113230,0,0,IIN023019,""
9,"",1,0,,2018-09-28 18:10:37,1,2017-09-28 18:10:37,9999-12-31 23:59:59,0,CaCl2,CaCl2,113101,0,0,IIN023054,""
10,"",1,0,,2018-09-28 18:10:37,1,2017-09-28 18:10:37,9999-12-31 23:59:59,0,CDF-4P,CDF-4P,113263,0,0,IIN023056,""
11,"",1,0,,2018-09-28 18:10:37,1,2017-09-28 18:10:37,9999-12-31 23:59:59,0,CDF-6P,CDF-6P,113267,0,0,IIN052225,""
13,"",1,0,,2018-09-28 18:10:37,1,2017-09-28 18:10:37,9999-12-31 23:59:59,0,CDM-2,CDM-2,113418,0,0,IIN023036,""
14,"",1,0,,2018-09-28 18:10:37,1,2017-09-28 18:10:37,9999-12-31 23:59:59,0,CDM-4,CDM-4,113416,0,0,IIN054779,""
15,"",1,0,,2018-09-28 18:10:37,1,2017-09-28 18:10:37,9999-12-31 23:59:59,0,CDM-5,CDM-5,113419,0,0,IIN023037,""
16,"",1,0,,2018-09-28 18:10:37,1,2017-09-28 18:10:37,9999-12-31 23:59:59,0,CDM-6,CDM-6,113420,0,0,IIN023167,""
17,"",1,0,,2018-09-28 18:10:37,1,2017-09-28 18:10:37,9999-12-31 23:59:59,0,CDM-6B,CDM-6B,,0,0,IIN054152,""
