eService Import Sheet,,,,,,,,,,,,
Header Information,,,,,,,,,,,,
Program Description,,0,Well Name,Anegada Hz 3A Valhalla,Business Unit,Canada,,,,,,
Main Service Line,,Cementing,Well Location (Surface),Surface ( 15-20 ),Business Unit ID,0,,,,,,
MSL ID,,13,Well Location (UWI),3-21-76-9W6,Price Book Version,Version 8,,,,,,
Multi-Service Line?,,No,Province / State,AB,Price Book ID,12,,,,,,
Client,,Anegada Oil Corporation,Province / State ID,1,Pricing Method,Summary with Details,,,,,,
Client ID,,30340,High Profile / Critical Well,No,Invoice Method,Job,,,,,,
Charge Method,,Summary with Details,Pricing Area,2,Time Span Bundle Type per,Job,,,,,,
Discount (%),,45,PA ID,2,Call Sheet Type,Pumping,,,,,,
Travel Base Charge,,30,Dispatch District,Grande Prairie,Will this Job have Multiple Service Reports,No,,,,,,
Consulting Firm,,,DD ID,71,Country,Canada,,,,,,
Consulting firm ID,,,Service Point,Grande Prairie,Thermal Well or Area,No,,,,,,
Delivery Distance,,30,SP ID,71,Sanjel Program Generated,Yes,,,,,,
Field,,,TMA,None,# of jobs in import sheet,2,,,,,,
Client Solutions Rep,,Arnie Lewis,TMA %,0,Formation,Doig ,,,,,,
CS ID,,12605,Revision,0,Multiwell?,No,,,,,,
Job Designer,,Joe Zhou,Option,0,Well Count,1,,,,,,
JD ID,,20514,,,Bid Program,No,,,,,,
Program ID,,PRG1906051,,,,,,,,,,
Template ID,,1,,,Field Blend Test,No,,,,,,
# of Shifts,,,# of Wells,,# of Tonne,,,,,,,
# of Days,,,# of Jobs,1,# of Blend,,,,,,,
# of Zones,,,# of Stages,,# of m3,,,,,,,
,,,,,,,,,,,,
Template Job Type,,1 Blend Surface,,,,,,,,,,
Job Type,,Surface Casing,1,,,,Pumping Serice Line Type,Primary,Total Revenue,"$7,395.10 ",,
Job Type ID,,1504,Depth Base Charge,382,,,Stage / Plug Treatment Information Type,Stage,,,,
,,,Risk Matrix,660.5,,,# of Stages,1,,,,
Bundle Name,,Services,,,, ,,,,,,
Bundle Category,,Services,,,,,,,,,,
Bundle Type,,Job,,,,,,,,,,
Number of Bundles,,1,,,Details Pricing,,/ Job(s),,,,,
Pricing Method,,APB,,,Summary Pricing,,/ 1 Job(s),,,,,
Invoice Method,,Job,,,Details Invoice,,/ Job(s),,,,,
Quantity of Bundles,,1,,,Summary Invoice,,/ 1 Job(s),,,, ,
Bundle Code,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Item Code,Discountable,Description,Quantity 1,Quantity 2,Net Price,Net Amount,Discount%,Unit Book Price,Amount,Discount Amount,Calculated Discount %,Included?
116033,*,Pumping Service: Cementing Base Charge (6 hours),1,0,1910,1910,0,0,0,-1910,,
111001,,Pumper Base Charge,1,0,Included,Included,0.65,4850,4850,,,Yes
111380,,Pumper Unit Travel,1,30,Included,Included,0.65,10.3,309,,,Yes
111382,,Pickup Travel,1,30,Included,Included,0.65,4.35,130.5,,,Yes
111493,*,Environmental Surcharge,1,0,Included,Included,0,55,55,,,Yes
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Total,,,,,,1910,,4919.65,5344.5,3434.5,0.6426,4
,,,,,,,,,,,,
Bundle Name,,Handling & Delivery,,,,,,,,,,
Bundle Category,,Handling,,,,,,,,,,
Bundle Type,,Job,,,,,,,,,,
Number of Bundles,,1,,,Details Pricing,,/ Job(s),,,,,
Pricing Method,,APB,,,Summary Pricing,,/ 1 Job(s),,,,,
Invoice Method,,Job,,,Details Invoice,,/ Job(s),,,,,
Quantity of Bundles,,1,,,Summary Invoice,,/ 1 Job(s),,,,,
Bundle Code,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Item Code,Discountable,Description,Quantity 1,Quantity 2,Net Price,Net Amount,Discount%,Unit Book Price,Amount,Discount Amount,Calculated Discount %,Included?
111492,*,Handling and Delivery Service Charge,11.7,0,60,702,0,0,0,-702,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Total,,,,702,,0,0,-702,0,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Bundle Name,,Materials,,,,,,,,,,
Bundle Category,,Materials,,,,,,,,,,
Bundle Type,,Job,,,,,,,,,,
Number of Bundles,,1,,,Details Pricing,,/ Job(s),,,,,
Pricing Method,,APB,,,Summary Pricing,,/ 1 Job(s),,,,,
Invoice Method,,Job,,,Details Invoice,,/ Job(s),,,,,
Quantity of Bundles,,1,,,Summary Invoice,,/ 1 Job(s),,,,,
Bundle Code,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Item Code,Discountable,Description,Quantity 1,Quantity 2,Net Price,Net Amount,Discount%,Unit Book Price,Amount,Discount Amount,Calculated Discount %,Included?
113448,*,SURFACEmix LW PRO GP + Additives,11.7,0,390,4563,0.69,0,0,-4563,,
113447,,SURFACEmix LW PRO GP,11.6,0,Included,Included,0.69,1155,13398,,,Yes
113306,,SCA-6,58,0,Included,Included,0.69,8.6,498.8,,,Yes
113307,,SCA-7,58,0,Included,Included,0.69,2.75,159.5,,,Yes
113267,,CDF-6P,18,0,Included,Included,0.69,32,576,,,Yes
Plugs,#N/A,0,0,0,0,0,0.69,0,0,0,,
116280,,"219.1 mm (8.625"") Rubber PDC Drillable Top Cementing Plug",1,0,220.1,220.1,0.69,710,710,489.9,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
