eService Import Sheet,,,,,,,,,,,,
Header Information,,,,,,,,,,,,
Program Description,,0,Well Name,Well name,Business Unit,Canada,,,,,,
Main Service Line,,Cementing,Well Location (Surface),Unknown,Business Unit ID,0,,,,,,
MSL ID,,13,Well Location (UWI),51-18W5,Price Book Version,Version 8,,,,,,
Multi-Service Line?,,No,Province / State,AB,Price Book ID,12,,,,,,
Client,,Husky Oil Operations Limited,Province / State ID,1,Pricing Method,Summary with Details,,,,,,
Client ID,,4008,High Profile / Critical Well,Yes,Invoice Method,Job,,,,,,
Charge Method,,Summary with Details,Pricing Area,1,Time Span Bundle Type per,Job,,,,,,
Discount (%),,45,PA ID,1,Call Sheet Type,Pumping,,,,,,
Travel Base Charge,,210,Dispatch District,Edson,Will this Job have Multiple Service Reports,No,,,,,,
Consulting Firm,,,DD ID,81,Country,Canada,,,,,,
Consulting firm ID,,,Service Point,Edson,Thermal Well or Area,No,,,,,,
Delivery Distance,,210,SP ID,81,Sanjel Program Generated,Yes,,,,,,
Field,,,TMA,None,# of jobs in import sheet,2,,,,,,
Client Solutions Rep,,Don Kerr,TMA %,0,Formation,,,,,,,
CS ID,,10184,Revision,1,Multiwell?,Yes,,,,,,
Job Designer,,Joe Zhou,Option,0,Well Count,11,,,,,,
JD ID,,20514,,,Bid Program,Yes,,,,,,
Program ID,,PRG1906058,,,,,,,,,,
Template ID,,1,,,Field Blend Test,Yes,,,,,,
# of Shifts,,,# of Wells,,# of Tonne,,,,,,,
# of Days,,,# of Jobs,1,# of Blend,,,,,,,
# of Zones,,,# of Stages,,# of m3,,,,,,,
,,,,,,,,,,,,
Template Job Type,,1 Blend Surface,,,,,,,,,,
Job Type,,Surface Casing,1,,,,Pumping Serice Line Type,Primary,Total Revenue,"$20,933.75 ",,
Job Type ID,,1504,Depth Base Charge,600,,,Stage / Plug Treatment Information Type,Stage,,,,
,,,Risk Matrix,24,,,# of Stages,1,,,,
Bundle Name,,Services,,,, ,,,,,,
Bundle Category,,Services,,,,,,,,,,
Bundle Type,,Job,,,,,,,,,,
Number of Bundles,,1,,,Details Pricing,,/ Job(s),,,,,
Pricing Method,,APB,,,Summary Pricing,,/ 1 Job(s),,,,,
Invoice Method,,Job,,,Details Invoice,,/ Job(s),,,,,
Quantity of Bundles,,1,,,Summary Invoice,,/ 1 Job(s),,,, ,
Bundle Code,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Item Code,Discountable,Description,Quantity 1,Quantity 2,Net Price,Net Amount,Discount%,Unit Book Price,Amount,Discount Amount,Calculated Discount %,Included?
116033,*,Pumping Service: Cementing Base Charge (6 hours),1,0,2380,2380,0,0,0,-2380,,
111002,,Pumper Base Charge,1,0,Included,Included,0.65,4150,4150,,,Yes
111380,,Pumper Unit Travel,1,210,Included,Included,0.65,8.3,1743,,,Yes
111382,,Pickup Travel,1,210,Included,Included,0.65,3.55,745.5,,,Yes
111493,*,Environmental Surcharge,1,0,Included,Included,0,55,55,,,Yes
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Total,,,,,,2380,,4216.85,6693.5,4313.5,0.6444,4
,,,,,,,,,,,,
Bundle Name,,Handling & Delivery,,,,,,,,,,
Bundle Category,,Handling,,,,,,,,,,
Bundle Type,,Job,,,,,,,,,,
Number of Bundles,,1,,,Details Pricing,,/ Job(s),,,,,
