SanSeal Thermal,SanSeal Thermal,0,0,0,1650,NULL
LITEmix PRO RD,NULL,1.416,1.823,2.455,1325,NULL
SURFACEmix LW PRO (SK),NULL,0.837,1.185,2.87356322,1550,1200
Class A,NULL,NULL,0.776,3.152,1880,NULL
Class C,NULL,NULL,0.88,3.192,1780,NULL
Class G,NULL,NULL,0.762,3.188,1901,NULL
Intercem,NULL,NULL,0.876,2.916,1750,NULL
iGain (SK),NULL,NULL,1.278920177,2.773618031,1500,1200
iGain (AB),NULL,NULL,1.245845714,2.651977237,1500,1290
LCS 1600,NULL,NULL,0.999504788,2.498144335,1600,1190
LITEmix 1325 (AB),NULL,NULL,1.882868969,2.576870726,1325,1107.5
"PRODUCTIONmix 1500 PRO ",NULL,NULL,1.258294273,2.696487203,1500,1217
"SURFACEmix LW (SK) ",NULL,NULL,1.063866689,2.764875132,1600,1170
"SurfLite (SK) ",NULL,NULL,0.895741975,2.889268568,1730,1370
THERMAmix LT,NULL,NULL,0.777286904,2.881188428,1840,1210
"ThixLite HT (AB) ",NULL,NULL,1.248627036,2.661793937,1500,1110
"ThixLite HT (SK) ",NULL,NULL,1.28764343,2.807582723,1500,1260
Water Wet Max,NULL,NULL,NULL,1.06,NULL,NULL
Invert Spacer,NULL,NULL,NULL,1.06,NULL,NULL
Mud Flush,NULL,NULL,NULL,1.06,NULL,NULL
Indicator Dye,NULL,NULL,NULL,1.06,NULL,NULL
Wellseal,NULL,NULL,NULL,1.06,NULL,NULL
RP-20,NULL,NULL,NULL,1.06,NULL,NULL
One Part Spacer,NULL,NULL,NULL,1.06,NULL,NULL
Base Oil,NULL,NULL,NULL,1.06,NULL,NULL
HCL 15%,NULL,NULL,NULL,NULL,NULL,NULL
Visweep,NULL,1,0,1.06,0,NULL
BE-1,NULL,0,0,1.06,0,NULL
SUPERLITEmix PRO X,NULL,0.81,1.509,1.43061516,1200,NULL
SURFACEmix THX,NULL,0.62199237,0.94028543,3.14175873,1725,NULL
THERMAmix THX,NULL,0.434,0.779,2.89855072,1840,NULL
SURFACEmix LW PRO SL (SK),NULL,0.817,1.172,2.81690141,1550,NULL
THERMAmix PRO,NULL,0.56,0.918,2.79329609,1700,NULL
THERMAmix SLW,NULL,0.651,1.223,1.74825175,1350,1100
LDP-C-0517,NULL,0.618,1.198,1.72413793,1350,NULL
SUPERLITEmix 1100x,NULL,0.794,1.631,1.19474313,1100,NULL
SUPERLITEmix 1160x,NULL,1.362,2.036,1.48367953,1160,NULL
