eService Import Sheet,,,,,,,,,,,,
Header Information,,,,,,,,,,,,
Program Description,,0,Well Name,Vital Lampman Vertical,Business Unit,Canada,,,,,,
Main Service Line,,Cementing,Well Location (Surface),Unknown,Business Unit ID,0,Invoice Consulting Firm?,No,,,,
MSL ID,,13,Well Location (UWI),1-4-6-5W2,Price Book Version,Version 8,Government Program,,,,,
Multi-Service Line?,,No,Province / State,SK,Price Book ID,12,Grant Agreement Number,0,,,,
Client,,Vital Energy Inc.,Province / State ID,12,Pricing Method,Summary with Details,Prepay Grant Amount,0,,,,
Client ID,,1793,High Profile / Critical Well,No,Invoice Method,Job,Interm Grant Amount,0,,,,
Charge Method,,Summary with Details,Pricing Area,1,Time Span Bundle Type per,Job,Application Amount,0,,,,
Discount (%),,63,PA ID,1,Call Sheet Type,Pumping,,,,,,
Travel Base Charge,,60,Dispatch District,Estevan,Will this Job have Multiple Service Reports,No,Estimated Start Date,,,,,
Consulting Firm,,Assured Resource Management Ltd,DD ID,72,Country,Canada,,,,,,
Consulting firm ID,,0,Service Point,Estevan,Thermal Well or Area,No,,,,,,
Delivery Distance,,60,SP ID,72,Sanjel Program Generated,Yes,,,,,,
Field,,,TMA,NoTma,# of jobs in import sheet,3,,,,,,
Client Solutions Rep,,Mark Astley,TMA %,0,Formation,Midale,,,,,,
CS ID,,30789,Revision,2,Multiwell?,No,,,,,,
Job Designer,,Mark Astley,Option,0,Well Count,0,,,,,,
JD ID,,30789,,,Bid Program,Yes,,,,,,
Program ID,,PRG2101265,,,Rev Desc,0,,,,,,
Template ID,,1,,,Field Blend Test,No,,,,,,
# of Shifts,,,# of Wells,,# of Tonne,,,,,,,
# of Days,,,# of Jobs,1,# of Blend,,,,,,,
# of Zones,,,# of Stages,,# of m3,,,,,,,
,,,,,,,,,,,,
Template Job Type,,1 Blend Surface,,,,,,,,,,
Job Type,,Surface Casing,1,,,,Pumping Serice Line Type,Primary,Total Revenue,"$7,956.00 ",,
Job Type ID,,1504,Depth Base Charge,230,,,Stage / Plug Treatment Information Type,Stage,,,,
,,,Risk Matrix,24,,,# of Stages,1,,,,
Bundle Name,,Services,,,, ,,,,,,
Bundle Category,,Services,,,,,,,,,,
Bundle Type,,Job,,,,,,,,,,
Number of Bundles,,1,,,Details Pricing,,/ Job(s),,,,,
Pricing Method,,APB,,,Summary Pricing,,/ 1 Job(s),,,,,
Invoice Method,,Job,,,Details Invoice,,/ Job(s),,,,,
Quantity of Bundles,,1,,,Summary Invoice,,/ 1 Job(s),,,, ,
Bundle Code,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Item Code,Discountable,Description,Quantity 1,Quantity 2,Net Price,Net Amount,Discount%,Unit Book Price,Amount,Discount Amount,Calculated Discount %,Included?
116033,*,Pumping Service: Cementing Base Charge (6 hours),1,0,1150,1150,0,0,0,-1150,,
111001,,Pumper Base Charge,1,0,Included,Included,0.7653,3950,3950,,,Yes
111380,,Pumper Unit Travel,1,60,Included,Included,0.7653,8.3,498,,,Yes
111382,,Pickup Travel,1,60,Included,Included,0.7653,3.55,213,,,Yes
111493,*,Environmental Surcharge,1,0,Included,Included,0,55,55,,,Yes
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Total,,,,,,1150,,4016.85,4716,3566,0.7561,4
,,,,,,,,,,,,
Bundle Name,,Handling & Delivery,,,,,,,,,,
Bundle Category,,Handling,,,,,,,,,,
Bundle Type,,Job,,,,,,,,,,
Number of Bundles,,1,,,Details Pricing,,/ Job(s),,,,,
Pricing Method,,APB,,,Summary Pricing,,/ 1 Job(s),,,,,
Invoice Method,,Job,,,Details Invoice,,/ Job(s),,,,,
Quantity of Bundles,,1,,,Summary Invoice,,/ 1 Job(s),,,,,
Bundle Code,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Item Code,Discountable,Description,Quantity 1,Quantity 2,Net Price,Net Amount,Discount%,Unit Book Price,Amount,Discount Amount,Calculated Discount %,Included?
111492,*,Handling and Delivery Service Charge,16.8,0,65,1092,0,0,0,-1092,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
