eService Import Sheet,,,,,,,,,,,,
Header Information,,,,,,,,,,,,
Program Description,,0,Well Name,KIWETINOHK HZ WAHIGAN 6-7-64-23,Business Unit,Canada,,,,,,
Main Service Line,,Cementing,Well Location (Surface),Surface (11-24-64-24W5),Business Unit ID,0,Invoice Consulting Firm?,No,,,,
MSL ID,,13,Well Location (UWI),100/6-7-64-23W5,Price Book Version,Version 8,Government Program,,,,,
Multi-Service Line?,,No,Province / State,AB,Price Book ID,12,Grant Agreement Number,0,,,,
Client,,Kiwetinohk Resources Corp.,Province / State ID,1,Pricing Method,Summary with Details,Prepay Grant Amount,0,,,,
Client ID,,30453,High Profile / Critical Well,Yes,Invoice Method,Job,Interm Grant Amount,0,,,,
Charge Method,,Summary with Details,Pricing Area,2,Time Span Bundle Type per,Job,Application Amount,0,,,,
Discount (%),,63,PA ID,2,Call Sheet Type,Pumping,,,,,,
Travel Base Charge,,200,Dispatch District,Grande Prairie,Will this Job have Multiple Service Reports,No,Estimated Start Date,5/19/2023,,,,
Consulting Firm,,Company,DD ID,71,Country,Canada,Rig Name,Akita 41,,,,
Consulting firm ID,,Client ID,Service Point,Grande Prairie,Thermal Well or Area,No,Well Type,0,,,,
Delivery Distance,,200,SP ID,71,Sanjel Program Generated,Yes,Sanjel Well Objective,0,,,,
Field,,,TMA,NoTma,# of jobs in import sheet,4,Sales Forecast Number,0,,,,
Client Solutions Rep,,Mark Astley,TMA %,0,Formation,Duvernay ,Drill Order,1231,,,,
CS ID,,30789,Revision,2,Multiwell?,No,,,,,,
Job Designer,,"Warren Matlock, P. Eng.",Option,0,Well Count,0,,,,,,
JD ID,,23453,,,Bid Program,No,,,,,,
Program ID,,PRG2300644,,,Rev Desc,Updated the Procedure and Wellbore Depths,,,,,,
Template ID,,1,,,Field Blend Test,Yes,,,,,,
# of Shifts,,,# of Wells,,# of Tonne,,,,,,,
# of Days,,,# of Jobs,1,# of Blend,,,,,,,
# of Zones,,,# of Stages,,# of m3,,,,,,,
,,,,,,,,,,,,
Template Job Type,,Casing Template #1,,,,,,,,,,
Job Type,,Surface Casing,3,,,,Pumping Serice Line Type,Primary Cementing,Total Revenue,22751.38,,
Job Type ID,,1504,Depth Base Charge,615,,,Stage / Plug Treatment Information Type,Stage,Execution Order,45,,
,,,Risk Matrix,36,,,# of Stages,1,,,,
Bundle Name,,Services,,,, ,,,,,,
Bundle Category,,Services,,,,,,,,,,
Bundle Type,,Job,,,,,,,,,,
Number of Bundles,,1,,,Details Pricing,,/ Job(s),,,,,
Pricing Method,,Summary With Details,,,Summary Pricing,,/ 1 Job(s),,,,,
Invoice Method,,Job,,,Details Invoice,,/ Job(s),,,,,
Quantity of Bundles,,1,,,Summary Invoice,,/ 1 Job(s),,,, ,
