eService Import Sheet,,,,,,,,,,,,
Header Information,,,,,,,,,,,,
Program Description,,0,Well Name,Archer HZ La Glace,Business Unit,Canada,,,,,,
Main Service Line,,Cementing,Well Location (Surface),Surface ( 12-8-74-7W6 ),Business Unit ID,0,Invoice Consulting Firm?,No,,,,
MSL ID,,13,Well Location (UWI),100/8-10-74-7W6,Price Book Version,Version 8,Government Program,,,,,
Multi-Service Line?,,No,Province / State,AB,Price Book ID,12,Grant Agreement Number,0,,,,
Client,,Archer Exploration Corp.,Province / State ID,1,Pricing Method,Summary with Details,Prepay Grant Amount,0,,,,
Client ID,,30460,High Profile / Critical Well,No,Invoice Method,Job,Interm Grant Amount,0,,,,
Charge Method,,Summary with Details,Pricing Area,2,Time Span Bundle Type per,Job,Application Amount,0,,,,
Discount (%),,60,PA ID,2,Call Sheet Type,Pumping,,,,,,
Travel Base Charge,,50,Dispatch District,Grande Prairie,Will this Job have Multiple Service Reports,No,Estimated Start Date,,,,,
Consulting Firm,,Company,DD ID,71,Country,Canada,Rig Name,Buffalo 1,,,,
Consulting firm ID,,Client ID,Service Point,Grande Prairie,Thermal Well or Area,No,Well Type,Producer,,,,
Delivery Distance,,50,SP ID,71,Sanjel Program Generated,Yes,Well Objective,Oil,,,,
Field,,,TMA,NoTma,# of jobs in import sheet,2,Sales Forecast Number,0,,,,
Client Solutions Rep,,Arnie Lewis,TMA %,0,Formation,BlueSky,Iteration,11,,,,
CS ID,,12605,Revision,4,Multiwell?,No,Remedial Objective,Zone isolation,,,,
Job Designer,,"Henry Jiao, P. Eng",Option,0,Well Count,0,,,,,,
JD ID,,21795,,,Bid Program,No,,,,,,
Program ID,,PRG2300648,,,Rev Desc,Hole Size & Depth,,,,,,
Template ID,,1,,,Field Blend Test,Yes,,,,,,
# of Shifts,,,# of Wells,,# of Tonne,,,,,,,
# of Days,,,# of Jobs,1,# of Blend,,,,,,,
# of Zones,,,# of Stages,,# of m3,,,,,,,
,,,,,,,,,,,,
Template Job Type,,Casing Template #1,,,,,,,,,,
Job Type,,Surface Casing,3,,,,Pumping Serice Line Type,Primary Cementing,Total Revenue,18785,,
Job Type ID,,1504,Depth Base Charge,484,,,Stage / Plug Treatment Information Type,Stage,Execution Order,44,,
,,,Risk Matrix,45,,,# of Stages,1,,,,
Bundle Name,,Services,,,, ,,,,,,
Bundle Category,,Services,,,,,,,,,,
Bundle Type,,Job,,,,,,,,,,
Number of Bundles,,1,,,Details Pricing,,/ Job(s),,,,,
Pricing Method,,Summary With Details,,,Summary Pricing,,/ 1 Job(s),,,,,
Invoice Method,,Job,,,Details Invoice,,/ Job(s),,,,,
Quantity of Bundles,,1,,,Summary Invoice,,/ 1 Job(s),,,, ,
Bundle Code,,,,,,,,,,,,
,,,,,,,,,,,,
