eService Import Sheet,,,,,,,,,,,,
Header Information,,,,,,,,,,,,
Program Description,,0,Well Name,Rio Tinto Stratigraphic Test Well,Business Unit,Canada,,,,,,
Main Service Line,,Cementing,Well Location (Surface),Unknown,Business Unit ID,0,Invoice Consulting Firm?,Yes,,,,
MSL ID,,13,Well Location (UWI),SW-17-22-27W2,Price Book Version,Version 8,Government Program,,,,,
Multi-Service Line?,,No,Province / State,SK,Price Book ID,12,Grant Agreement Number,0,,,,
Client,,Rio Tinto,Province / State ID,12,Pricing Method,Summary with Details,Prepay Grant Amount,0,,,,
Client ID,,0,High Profile / Critical Well,No,Invoice Method,Job,Interm Grant Amount,0,,,,
Charge Method,,Summary with Details,Pricing Area,1,Time Span Bundle Type per,Job,Application Amount,0,,,,
Discount (%),,50,PA ID,1,Call Sheet Type,Pumping,,,,,,
Travel Base Charge,,200,Dispatch District,Swift Current,Will this Job have Multiple Service Reports,No,Estimated Start Date,,,,,
Consulting Firm,,RESPEC Consulting Inc.,DD ID,70,Country,Canada,Rig Name,,,,,
Consulting firm ID,,30461,Service Point,Swift Current,Thermal Well or Area,No,Well Type,Core Hole,,,,
Delivery Distance,,200,SP ID,70,Sanjel Program Generated,Yes,Well Objective,Potash,,,,
Field,,,TMA,NoTma,# of jobs in import sheet,2,Sales Forecast Number,0,,,,
Client Solutions Rep,,Ryan Gauthier,TMA %,0,Formation,Prairie Evaporite,Iteration,11,,,,
CS ID,,11781,Revision,4,Multiwell?,No,Remedial Objective,0,,,,
Job Designer,,Landon Olson,Option,0,Well Count,0,,,,,,
JD ID,,30930,,,Bid Program,No,,,,,,
Program ID,,PRG2300697,,,Rev Desc,Surface Depth,,,,,,
Template ID,,1,,,Field Blend Test,No,,,,,,
# of Shifts,,,# of Wells,,# of Tonne,,,,,,,
# of Days,,,# of Jobs,1,# of Blend,,,,,,,
# of Zones,,,# of Stages,,# of m3,,,,,,,
,,,,,,,,,,,,
Template Job Type,,Casing Template #1,,,,,,,,,,
Job Type,,Surface Casing,3,,,,Pumping Serice Line Type,Primary Cementing,Total Revenue,19023,,
Job Type ID,,1504,Depth Base Charge,234,,,Stage / Plug Treatment Information Type,Stage,Execution Order,44,,
,,,Risk Matrix,39,,,# of Stages,1,,,,
Bundle Name,,Services,,,, ,,,,,,
Bundle Category,,Services,,,,,,,,,,
