eService Import Sheet,,,,,,,,,,,,
Header Information,,,,,,,,,,,,
Program Description,,0,Well Name,Tourmaline Hz Minehead/Ansell,Business Unit,Canada,,,,,,
Main Service Line,,Cementing,Well Location (Surface),Surface (15-4),Business Unit ID,0,Invoice Consulting Firm?,No,,,,
MSL ID,,13,Well Location (UWI),(49-50)-19W5,Price Book Version,Version 8,Government Program,,,,,
Multi-Service Line?,,No,Province / State,AB,Price Book ID,12,Grant Agreement Number,0,,,,
Client,,Tourmaline Oil Corp.,Province / State ID,1,Pricing Method,Summary with Details,Prepay Grant Amount,0,,,,
Client ID,,4668,High Profile / Critical Well,No,Invoice Method,Job,Interm Grant Amount,0,,,,
Charge Method,,Summary with Details,Pricing Area,1,Time Span Bundle Type per,Job,Application Amount,0,,,,
Discount (%),,70,PA ID,1,Call Sheet Type,Pumping,,,,,,
Travel Base Charge,,235,Dispatch District,Edson,Will this Job have Multiple Service Reports,No,Estimated Start Date,8/1/2023,,,,
Consulting Firm,,Company,DD ID,81,Country,Canada,Rig Name,PD 463,,,,
Consulting firm ID,,Client ID,Service Point,Edson,Thermal Well or Area,No,Well Type,0,,,,
Delivery Distance,,235,SP ID,81,Sanjel Program Generated,Yes,Sanjel Well Objective,0,,,,
Field,,,TMA,NoTma,# of jobs in import sheet,3,Sales Forecast Number,0,,,,
Client Solutions Rep,,Jeremy Smith,TMA %,0,Formation,Wilrich ,Drill Order,123,,,,
CS ID,,12841,Revision,0,Multiwell?,Yes,,,,,,
Job Designer,,"Warren Matlock, P. Eng.",Option,0,Well Count,4,,,,,,
JD ID,,23453,,,Bid Program,No,,,,,,
Program ID,,PRG2300987,,,Rev Desc,0,,,,,,
Template ID,,1,,,Field Blend Test,No,,,,,,
# of Shifts,,,# of Wells,,# of Tonne,,,,,,,
# of Days,,,# of Jobs,1,# of Blend,,,,,,,
# of Zones,,,# of Stages,,# of m3,,,,,,,
,,,,,,,,,,,,
Template Job Type,,Casing Template #1,,,,,,,,,,
Job Type,,Surface Casing,3,,,,Pumping Serice Line Type,Primary Cementing,Total Revenue,17972.25,,
Job Type ID,,1504,Depth Base Charge,610,,,Stage / Plug Treatment Information Type,Stage,Execution Order,45,,
,,,Risk Matrix,48,,,# of Stages,1,,,,
Bundle Name,,Services,,,, ,,,,,,
Bundle Category,,Services,,,,,,,,,,
Bundle Type,,Job,,,,,,,,,,
Number of Bundles,,1,,,Details Pricing,,/ Job(s),,,,,
Pricing Method,,Summary With Details,,,Summary Pricing,,/ 1 Job(s),,,,,
Invoice Method,,Job,,,Details Invoice,,/ Job(s),,,,,
Quantity of Bundles,,1,,,Summary Invoice,,/ 1 Job(s),,,, ,
Bundle Code,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Item Code,Discountable,Description,Quantity 1,Quantity 2,Net Price,Net Amount,Discount%,Unit Book Price,Amount,Discount Amount,Calculated Discount %,Included?
116033,*,Pumping Service: Cementing Base Charge (8 hours),1,0,2400,2400,0.68182,POR,#VALUE!,#VALUE!,,
