eService Import Sheet,,,,,,,,,,,,
Header Information,,,,,,,,,,,,
Program Description,,0,Well Name,Well Name,Business Unit,Canada,,,,,,
Main Service Line,,Cementing,Well Location (Surface),Unknown,Business Unit ID,0,Invoice Consulting Firm?,No,,,,
MSL ID,,13,Well Location (UWI),48-18-38-8W5,Price Book Version,Version 8,Government Program,,,,,
Multi-Service Line?,,No,Province / State,AB,Price Book ID,12,Grant Agreement Number,0,,,,
Client,,Company,Province / State ID,1,Pricing Method,Summary with Details,Prepay Grant Amount,0,,,,
Client ID,,Client ID,High Profile / Critical Well,Yes,Invoice Method,Job,Interm Grant Amount,0,,,,
Charge Method,,Summary with Details,Pricing Area,1,Time Span Bundle Type per,Job,Application Amount,0,,,,
Discount (%),,50,PA ID,1,Call Sheet Type,Pumping,,,,,,
Travel Base Charge,,100,Dispatch District,Red Deer,Will this Job have Multiple Service Reports,No,Estimated Start Date,,,,,
Consulting Firm,,Company,DD ID,85,Country,Canada,Rig Name,,,,,
Consulting firm ID,,Client ID,Service Point,Red Deer,Thermal Well or Area,No,Well Type,0,,,,
Delivery Distance,,100,SP ID,85,Sanjel Program Generated,Yes,Well Objective,0,,,,
Field,,,TMA,NoTma,# of jobs in import sheet,2,Sales Forecast Number,0,,,,
Client Solutions Rep,,"Henry Jiao, P. Eng",TMA %,0,Formation,Upper Porous,Iteration,11,,,,
CS ID,,21795,Revision,0,Multiwell?,No,Remedial Objective,0,,,,
Job Designer,,Jason Schneider,Option,0,Well Count,1,,,,,,
JD ID,,12108,,,Bid Program,No,,,,,,
Program ID,,PRG2300997,,,Rev Desc,,,,,,,
Template ID,,1,,,Field Blend Test,Yes,,,,,,
# of Shifts,,,# of Wells,,# of Tonne,,,,,,,
# of Days,,,# of Jobs,1,# of Blend,,,,,,,
# of Zones,,,# of Stages,,# of m3,,,,,,,
,,,,,,,,,,,,
Template Job Type,,Casing Template #1,,,,,,,,,,
Job Type,,Surface Casing,3,,,,Pumping Serice Line Type,Primary Cementing,Total Revenue,16513.5,,
Job Type ID,,1504,Depth Base Charge,2582,,,Stage / Plug Treatment Information Type,Stage,Execution Order,44,,
,,,Risk Matrix,666.5,,,# of Stages,1,,,,
Bundle Name,,Services,,,, ,,,,,,
Bundle Category,,Services,,,,,,,,,,
Bundle Type,,Job,,,,,,,,,,
Number of Bundles,,1,,,Details Pricing,,/ Job(s),,,,,
Pricing Method,,Summary With Details,,,Summary Pricing,,/ 1 Job(s),,,,,
Invoice Method,,Job,,,Details Invoice,,/ Job(s),,,,,
Quantity of Bundles,,1,,,Summary Invoice,,/ 1 Job(s),,,, ,
Bundle Code,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Item Code,Discountable,Description,Quantity 1,Quantity 2,Net Price,Net Amount,Discount%,Unit Book Price,Amount,Discount Amount,Calculated Discount %,Included?
116033,*,Pumping Service: Cementing Base Charge (6 hours),1,0,11770,11770,0.5,POR,#VALUE!,#VALUE!,,
111012,,Pumper Base Charge,2,0,Included,Included,0.5,8550,17100,,,Yes
111380,#N/A,Pumper Unit Travel,2,100,Included,Included,0.5,8.3,1660,,,Yes
111382,,Pickup Travel,1,100,Included,Included,0.5,3.9,390,,,Yes
116026,,Twin Pumping Unit Surcharge,2,0,Included,Included,0.5,2137.5,4275,,,Yes
111493,*,Environmental Surcharge,1,0,Included,Included,0,55,55,,,Yes
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Total,,,,,,11770,,10754.7,#VALUE!,#VALUE!,#VALUE!,5
,,,,,,,,,,,,
Bundle Name,,Handling & Delivery,,,,,,,,,,
Bundle Category,,Handling,,,,,,,,,,
Bundle Type,,Job,,,,,,,,,,
Number of Bundles,,1,,,Details Pricing,,/ Job(s),,,,,
Pricing Method,,Summary With Details,,,Summary Pricing,,/ 1 Job(s),,,,,
Invoice Method,,Job,,,Details Invoice,,/ Job(s),,,,,
Quantity of Bundles,,1,,,Summary Invoice,,/ 1 Job(s),,,,,
Bundle Code,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Item Code,Discountable,Description,Quantity 1,Quantity 2,Net Price,Net Amount,Discount%,Unit Book Price,Amount,Discount Amount,Calculated Discount %,Included?
111492,*,Handling and Delivery Service Charge,5.1,0,200,1020,0.5,POR,#VALUE!,#VALUE!,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Total,,,,1020,,0,#VALUE!,#VALUE!,#VALUE!,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
