eService Import Sheet,,,,,,,,,,,,
Header Information,,,,,,,,,,,,
Program Description,,0,Well Name,Certus 102 HZ Caroline,Business Unit,Canada,,,,,,
Main Service Line,,Cementing,Well Location (Surface),Surface ( 1-3-34-5W5 ),Business Unit ID,0,Invoice Consulting Firm?,No,,,,
MSL ID,,13,Well Location (UWI),102/15-2-34-4W5,Price Book Version,Version 8,Government Program,,,,,
Multi-Service Line?,,No,Province / State,AB,Price Book ID,12,Grant Agreement Number,0,,,,
Client,,Certus Oil & Gas Inc.,Province / State ID,1,Pricing Method,Summary with Details,Prepay Grant Amount,0,,,,
Client ID,,30474,High Profile / Critical Well,No,Invoice Method,Job,Interm Grant Amount,0,,,,
Charge Method,,Summary with Details,Pricing Area,1,Time Span Bundle Type per,Job,Application Amount,0,,,,
Discount (%),,60,PA ID,1,Call Sheet Type,Pumping,,,,,,
Travel Base Charge,,95,Dispatch District,Red Deer,Will this Job have Multiple Service Reports,No,Estimated Start Date,,,,,
Consulting Firm,,Energy Works Management,DD ID,85,Country,Canada,Rig Name,,,,,
Consulting firm ID,,0,Service Point,Red Deer,Thermal Well or Area,No,Well Type,0,,,,
Delivery Distance,,95,SP ID,85,Sanjel Program Generated,Yes,Well Objective,0,,,,
Field,,,TMA,NoTma,# of jobs in import sheet,3,Sales Forecast Number,0,,,,
Client Solutions Rep,,Arnie Lewis,TMA %,0,Formation,Glauconite,Iteration,111,,,,
CS ID,,12605,Revision,0,Multiwell?,No,Remedial Objective,0,,,,
Job Designer,,"Henry Jiao, P. Eng",Option,2,Well Count,1,,,,,,
JD ID,,21795,,,Bid Program,No,,,,,,
Program ID,,PRG2300999,,,Rev Desc,,,,,,,
Template ID,,1,,,Field Blend Test,Yes,,,,,,
# of Shifts,,,# of Wells,,# of Tonne,,,,,,,
# of Days,,,# of Jobs,1,# of Blend,,,,,,,
# of Zones,,,# of Stages,,# of m3,,,,,,,
,,,,,,,,,,,,
Template Job Type,,Casing Template #1,,,,,,,,,,
Job Type,,Surface Casing,3,,,,Pumping Serice Line Type,Primary Cementing,Total Revenue,15563,,
Job Type ID,,1504,Depth Base Charge,605,,,Stage / Plug Treatment Information Type,Stage,Execution Order,44,,
,,,Risk Matrix,45,,,# of Stages,1,,,,
Bundle Name,,Services,,,, ,,,,,,
Bundle Category,,Services,,,,,,,,,,
Bundle Type,,Job,,,,,,,,,,
Number of Bundles,,1,,,Details Pricing,,/ Job(s),,,,,
Pricing Method,,Summary With Details,,,Summary Pricing,,/ 1 Job(s),,,,,
Invoice Method,,Job,,,Details Invoice,,/ Job(s),,,,,
Quantity of Bundles,,1,,,Summary Invoice,,/ 1 Job(s),,,, ,
Bundle Code,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Item Code,Discountable,Description,Quantity 1,Quantity 2,Net Price,Net Amount,Discount%,Unit Book Price,Amount,Discount Amount,Calculated Discount %,Included?
116033,*,Pumping Service: Cementing Base Charge (6 hours),1,0,2320,2320,0.6,POR,#VALUE!,#VALUE!,,
111003,,Pumper Base Charge,1,0,Included,Included,0.6,4500,4500,,,Yes
111380,#N/A,Pumper Unit Travel,1,95,Included,Included,0.6,8.3,788.5,,,Yes
111382,,Pickup Travel,1,95,Included,Included,0.6,3.9,370.5,,,Yes
111493,*,Environmental Surcharge,1,0,Included,Included,0,55,55,,,Yes
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Total,,,,,,2320,,4567.2,#VALUE!,#VALUE!,#VALUE!,4
,,,,,,,,,,,,
