eService Import Sheet,,,,,,,,,,,,
Header Information,,,,,,,,,,,,
Program Description,,0,Well Name,ALSACE BUZZARD 15HZ 2A1-16-1B12-10-18-47-26,Business Unit,Canada,,,,,,
Main Service Line,,Cementing,Well Location (Surface),Surface ( 1-16 ),Business Unit ID,0,Invoice Consulting Firm?,No,,,,
MSL ID,,13,Well Location (UWI),100/12-10-47-26W3,Price Book Version,Version 8,Government Program,,,,,
Multi-Service Line?,,No,Province / State,SK,Price Book ID,12,Grant Agreement Number,0,,,,
Client,,Alsace Energy Corp ,Province / State ID,12,Pricing Method,Summary with Details,Prepay Grant Amount,0,,,,
Client ID,,0,High Profile / Critical Well,No,Invoice Method,Job,Interm Grant Amount,0,,,,
Charge Method,,Summary with Details,Pricing Area,1,Time Span Bundle Type per,Job,Application Amount,0,,,,
Discount (%),,60,PA ID,1,Call Sheet Type,Pumping,,,,,,
Travel Base Charge,,50,Dispatch District,Lloydminster,Will this Job have Multiple Service Reports,No,Estimated Start Date,,,,,
Consulting Firm,,DCP Engineering Inc.,DD ID,61,Country,Canada,Rig Name,,,,,
Consulting firm ID,,0,Service Point,Lloydminster,Thermal Well or Area,No,Well Type,0,,,,
Delivery Distance,,50,SP ID,61,Sanjel Program Generated,Yes,Sanjel Well Objective,0,,,,
Field,,,TMA,NoTma,# of jobs in import sheet,2,,,,,,
Client Solutions Rep,,Arnie Lewis,TMA %,0,Formation,Sparky Sand,,,,,,
CS ID,,12605,Revision,0,Multiwell?,No,,,,,,
Job Designer,,"Henry Jiao, P. Eng",Option,0,Well Count,0,,,,,,
JD ID,,21795,,,Bid Program,No,,,,,,
Program ID,,PRG2301000,,,Rev Desc,,,,,,,
Template ID,,1,,,Field Blend Test,No,,,,,,
# of Shifts,,,# of Wells,,# of Tonne,,,,,,,
# of Days,,,# of Jobs,1,# of Blend,,,,,,,
# of Zones,,,# of Stages,,# of m3,,,,,,,
,,,,,,,,,,,,
Template Job Type,,Casing Template #1,,,,,,,,,,
Job Type,,Surface Casing,3,,,,Pumping Serice Line Type,Primary Cementing,Total Revenue,17694,,
Job Type ID,,1504,Depth Base Charge,125,,,Stage / Plug Treatment Information Type,Stage,Execution Order,44,,
,,,Risk Matrix,30.5,,,# of Stages,1,,,,
Bundle Name,,Services,,,, ,,,,,,
Bundle Category,,Services,,,,,,,,,,
Bundle Type,,Job,,,,,,,,,,
Number of Bundles,,1,,,Details Pricing,,/ Job(s),,,,,
Pricing Method,,Summary With Details,,,Summary Pricing,,/ 1 Job(s),,,,,
Invoice Method,,Job,,,Details Invoice,,/ Job(s),,,,,
Quantity of Bundles,,1,,,Summary Invoice,,/ 1 Job(s),,,, ,
Bundle Code,,,,,,,,,,,,
