eService Import Sheet,,,,,,,,,,,,
Header Information,,,,,,,,,,,,
Program Description,,0,Well Name,BIR 9-4 HZ PCOUPES,Business Unit,Canada,,,,,,
Main Service Line,,Cementing,Well Location (Surface),Surface ( 9-4-79-13W6 ),Business Unit ID,0,Invoice Consulting Firm?,No,,,,
MSL ID,,13,Well Location (UWI),102/3-17-79-13W6,Price Book Version,Version 8,Government Program,,,,,
Multi-Service Line?,,No,Province / State,AB,Price Book ID,12,Grant Agreement Number,0,,,,
Client,,Birchcliff Energy Ltd.,Province / State ID,1,Pricing Method,Summary with Details,Prepay Grant Amount,0,,,,
Client ID,,1322,High Profile / Critical Well,No,Invoice Method,Job,Interm Grant Amount,0,,,,
Charge Method,,Summary with Details,Pricing Area,2,Time Span Bundle Type per,Job,Application Amount,0,,,,
Discount (%),,60,PA ID,2,Call Sheet Type,Pumping,,,,,,
Travel Base Charge,,95,Dispatch District,Grande Prairie,Will this Job have Multiple Service Reports,No,Estimated Start Date,,,,,
Consulting Firm,,Company,DD ID,71,Country,Canada,Rig Name,DC 2,,,,
Consulting firm ID,,Client ID,Service Point,Grande Prairie,Thermal Well or Area,No,Well Type,Producer,,,,
Delivery Distance,,95,SP ID,71,Sanjel Program Generated,Yes,Well Objective,Gas,,,,
Field,,,TMA,NoTma,# of jobs in import sheet,2,Sales Forecast Number,0,,,,
Client Solutions Rep,,Mark Astley,TMA %,0,Formation,Montney ,Iteration,11,,,,
CS ID,,30789,Revision,0,Multiwell?,No,Remedial Objective,Casing repair,,,,
Job Designer,,"Henry Jiao, P. Eng",Option,0,Well Count,0,,,,,,
JD ID,,21795,,,Bid Program,No,,,,,,
Program ID,,PRG2301017,,,Rev Desc,NAME,,,,,,
Template ID,,1,,,Field Blend Test,Yes,,,,,,
# of Shifts,,,# of Wells,,# of Tonne,,,,,,,
# of Days,,,# of Jobs,1,# of Blend,,,,,,,
# of Zones,,,# of Stages,,# of m3,,,,,,,
,,,,,,,,,,,,
Template Job Type,,Casing Template #1,,,,,,,,,,
Job Type,,Surface Casing,3,,,,Pumping Serice Line Type,Primary Cementing,Total Revenue,23465,,
Job Type ID,,1504,Depth Base Charge,560,,,Stage / Plug Treatment Information Type,Stage,Execution Order,44,,
,,,Risk Matrix,48,,,# of Stages,1,,,,
Bundle Name,,Services,,,, ,,,,,,
Bundle Category,,Services,,,,,,,,,,
Bundle Type,,Job,,,,,,,,,,
Number of Bundles,,1,,,Details Pricing,,/ Job(s),,,,,
Pricing Method,,Summary With Details,,,Summary Pricing,,/ 1 Job(s),,,,,
Invoice Method,,Job,,,Details Invoice,,/ Job(s),,,,,
Quantity of Bundles,,1,,,Summary Invoice,,/ 1 Job(s),,,, ,
Bundle Code,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Item Code,Discountable,Description,Quantity 1,Quantity 2,Net Price,Net Amount,Discount%,Unit Book Price,Amount,Discount Amount,Calculated Discount %,Included?
116033,*,Pumping Service: Cementing Base Charge (6 hours),1,0,2200,2200,0.67454,POR,#VALUE!,#VALUE!,,
111002,,Pumper Base Charge,1,0,Included,Included,0.67454,5150,5150,,,Yes
111380,#N/A,Pumper Unit Travel,1,95,Included,Included,0.67454,10.3,978.5,,,Yes
111382,,Pickup Travel,1,95,Included,Included,0.67454,4.8,456,,,Yes
111493,*,Environmental Surcharge,1,0,Included,Included,0,55,55,,,Yes
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Total,,,,,,2200,,5220.1,#VALUE!,#VALUE!,#VALUE!,4
,,,,,,,,,,,,
Bundle Name,,Handling & Delivery,,,,,,,,,,
Bundle Category,,Handling,,,,,,,,,,
Bundle Type,,Job,,,,,,,,,,
Number of Bundles,,1,,,Details Pricing,,/ Job(s),,,,,
Pricing Method,,Summary With Details,,,Summary Pricing,,/ 1 Job(s),,,,,
Invoice Method,,Job,,,Details Invoice,,/ Job(s),,,,,
Quantity of Bundles,,1,,,Summary Invoice,,/ 1 Job(s),,,,,
Bundle Code,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Item Code,Discountable,Description,Quantity 1,Quantity 2,Net Price,Net Amount,Discount%,Unit Book Price,Amount,Discount Amount,Calculated Discount %,Included?
111492,*,Handling and Delivery Service Charge,27.4,0,125,3425,0.59378,POR,#VALUE!,#VALUE!,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Total,,,,3425,,0,#VALUE!,#VALUE!,#VALUE!,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Bundle Name,,Materials,,,,,,,,,,
Bundle Category,,Materials,,,,,,,,,,
Bundle Type,,Job,,,,,,,,,,
Number of Bundles,,1,,,Details Pricing,,/ Job(s),,,,,
Pricing Method,,Summary With Details,,,Summary Pricing,,/ 1 Job(s),,,,,
Invoice Method,,Job,,,Details Invoice,,/ Job(s),,,,,
Quantity of Bundles,,1,,,Summary Invoice,,/ 1 Job(s),,,,,
Bundle Code,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Item Code,Discountable,Description,Quantity 1,Quantity 2,Net Price,Net Amount,Discount%,Unit Book Price,Amount,Discount Amount,Calculated Discount %,Included?
Preflush/Spacers,#N/A,0,0,0,0,0,0.7,0,0,0,,
Lead Cement,#N/A,0,0,0,0,0,0.7,0,0,0,,
