id,name,BulkDensity
453,Water Based Mud,NULL
467,Inhibited Water,NULL
455,Invert,NULL
456,Oil Based Mud,NULL
457,KCl Water,NULL
458,Produced Water,NULL
459,Brine,NULL
257,0:1:0 'A',1440
503,ECOsuperlite 1100,0.5
116,Expandomix LWL,1420
115,Expandomix HT (SK),1280
114,Expandomix HT,1220
113,EXPANDOmix PRO LT (SK),0
112,EXPANDOmix PRO LT,0
111,EXPANDOmix PRO HT (SK),0
110,EXPANDOmix PRO HT,0
109,Expandomix,1420
117,Glacial Mix,1520
144,SanSeal HT,720
145,SSi,1410
157,Thermal 40,1350
16,CDM-6B,NULL
30,Densified Fume,NULL
35,Flyash,1111.1
36,Flyash (Sask),NULL
61,Micromix,NULL
66,Sanlite,NULL
71,SG1500 AP1,NULL
73,Silica Fume - Semi-Densified,NULL
260,Sil 1,NULL
261,Sil 4,NULL
285,Water Wet Max,NULL
287,Mud Flush,NULL
290,Wellseal,NULL
291,RP-20,NULL
292,One Part Spacer,NULL
296,Base Oil,NULL
398,HCL 15%,NULL
284,Visweep,NULL
420,Visweep DM,NULL
294,WELLBLOCK 'T',NULL
293,BORAjel,NULL
289,Wellseal G,NULL
402,Scavenger,NULL
295,Fresh Water,NULL
421,Wellseal PRO,NULL
411,Visweep DM IS,NULL
346,SANJET Sand,0
350,SR-1,0
351,SSCI,0
352,SSL-2,0
353,StimSol 200,0
354,Stim-Wett Max I,0
355,Stim-Wett Max II,0
356,Stim-Wett Max III,0
358,Toluene,0
360,WG-2BL,0
364,WG-6ZL,0
273,ENVIROmix,0
78,0:1:0 'G',1440
79,0:1:12 'G',1440
80,0:1:2 'G',1440
81,0:1:4 'G',1440
82,0:1:6 'G',1440
83,0:1:8 'G',1440
84,1:1:0 'G',1290
85,1:1:0 'G' (Sask),1350
86,1:1:12 'G',1290
87,1:1:12 'G' (Sask),1350
89,1:1:2 'G' (Sask),1350
88,1:1:2 'G',1290
91,1:1:4 'G' (Sask),1350
90,1:1:4 'G',1290
95,1:1:8 'G' (Sask),1350
94,1:1:8 'G',1290
108,ASC IV,1350
93,1:1:6 'G' (Sask),1350
92,1:1:6 'G',1290
408,Ciment Fondue EC,0
29,Ciment Fondue,0
1,Class A,0
3,Class G,0
481,ECObase Cement,1.41
495,ECOlite 1325 SK,1.05
497,ECOlite 1400,1.12
501,ECOlite PRO,1.2
473,GROUTmix 1750,1.29
142,RAS II,1250
472,GROUTmix 1500,1.21
445,GROUTmix 1300,0.995
118,iBond,1240
120,iGain (AB),1290
119,iGain (SK),1200
122,iPrime (SK),1250
121,iPrime (AB),1190
124,LCS 1820,1410
123,LCS 1600,1190
165,LDP-C-0117,1719
512,Nanosealant*,0
266,LDP-C-0517,0
441,LITEmix PRO RD,0.978
416,LITEmix PRO,0
128,LITEmix 1400 (SK),1128.4
127,LITEmix 1400 (AB),1115.8
126,LITEmix 1325 (SK),1052.9
125,LITEmix 1325 (AB),1107.5
406,PRODUCTIONmix HZ,0
137,PRODUCTIONmix LW (SK),0
135,PRODUCTIONmix EC (Sask),0
134,PRODUCTIONmix EC,0
133,PRODUCTIONmix 1725,1166
132,PRODUCTIONmix 1600 (SK),1177.1
131,PRODUCTIONmix 1600,1163.3
130,PRODUCTIONmix 1500 PRO,1217
141,Proteus Pro,1330
140,Proteus LCS,1320
139,Proteus Core,1330
431,SanSeal Thermal,0
147,Superlite 13 (CDM-5),895.6
146,Superlite 13,934.8
281,SUPERLITEmix PRO X,0
264,SUPERLITEmix 1100x,0
262,SUPERLITEmix 1160x,0
166,SUPERLITEmix 1160,0
448,REMEDIALmix EC (SK),1.35
443,REMEDIALmix EC,1.29
149,"SUPERLITEmix PRO ",730
148,"SUPERLITEmix PRO HT ",787
375,SURFACEmix PRO FJ,0
373,SURFACEmix PRO GP,0
371,SURFACEmix PRO RD,0
369,SURFACEmix PRO ED,0
278,SURFACEmix THX,0
274,SURFACEmix LW PRO SL (SK),0
164,SURFACEmix LW PRO ESTVN,0
155,SURFACEmix SLW,710.5
154,SURFACEmix PRO SL,1027
153,SURFACEmix PRO,1220
152,SURFACEmix LW PRO (SK),1200
151,SURFACEmix LW PRO,1190.5
150,"SURFACEmix LW (SK) ",1170
156,"SurfLite (SK) ",1370
158,Thermal 40 EXP,1340
270,THERMAmix PRO,0
268,THERMAmix SLW,1100
160,THERMAmix LT,1210
159,THERMAmix EC,0
162,"ThixLite HT (AB) ",1110
163,"ThixLite HT (SK) ",1260
499,ECOlite 1400 SK,1.13
510,CemFIT Heal*,1.15
493,ECOlite 1325,1.11
76,SanSeal,1010
136,PRODUCTIONmix LW,1.21
129,LITEmix EC,0
440,Preblended Gypsum/CDM-4,0
450,Bio-10B,0
447,D270 Fulcrum*,0
476,D273 Fulcrum*,0
479,F104 Surfactant,0
480,D139 Foam Stabilizer,0
471,FFA-2,0
507,ECOgrout 1300,1.1
377,SURFACEmix LW PRO ED,0.97
522,SA-3P,0
547,ECOlite 1400 X,0
549,GROUTmix EXP,0
286,Invert Spacer,0
485,ECOprime SK,1.16
483,ECOprime,1.11
491,ECOproteus PRO,1.33
489,ECOproteus CORE,1.33
487,ECObond,1.24
505,ECOgrout,1.41
477,GROUTmix ARC,1.41
469,iPrime NW,1.19
465,iPrime GP,1.19
138,"PRODUCTIONmix THX ",1.091
276,THERMAmix THX,0
33,FA-1,0
47,KCl,1235
58,LTR-3,0
59,MCR-5,0
62,NaCl,1169.7
65,Sand,0
72,Silica Flour - 200 Mesh,1129.9
288,Indicator Dye,0
297,SAPP,0
298,12/20 Round Sand,0
299,AI-4,0
300,AI-7,0
301,AI-8,0
302,Aqueous Ammonia,0
303,ASA-3W,0
308,Bio-20D,0
309,Breaker-F,0
310,Breaker-O,0
311,Buffer F,0
312,BX-1LB,0
313,CaCO3,0
317,CFL-14,0
319,D-2,0
320,D-4,0
321,DA-1,0
322,DF-1,0
323,DG-1,0
324,EF-1,0
325,HSSW-1,0
326,HTAI-4,0
327,HTAI-6,0
328,HTAI-8,0
329,ICA-7,0
330,ICA-8,0
331,ICA-8C,0
333,ISA-1,0
336,LCG-13,0
340,MCR-4,0
341,MS-1,0
343,Napthalene Flakes,0
344,OWDA,0
347,SCC-1L,0
349,SI-14W,0
368,WWS-4L,0
367,WWS-3L,0
366,WWS-2L,0
365,WWS-1L,0
363,WG-6P,709.3
362,WG-4P,0
361,WG-3L,0
359,WG-1L,0
357,Sugar,0
348,SCC-2L,0
342,NaCl (Rock Salt),0
339,LCL-7,0
338,LCL-10,0
337,LCG-8,0
335,LCG-12,0
