ID,Service Line,Interval Types,Interval Count
1106,Primary Cementing,Stage,1
1109,Remedial Cementing,Treatment Interval,1
1110,Remedial Cementing,Treatment Interval,1
1114,Remedial Cementing,Treatment Interval,1
1502,Primary Cementing,Plug,1
1503,Primary Cementing,Plug,1
1504,Primary Cementing,Stage,1
1505,Primary Cementing,Stage,1
1506,Primary Cementing,Stage,1
1507,Primary Cementing,Stage,1
1508,Primary Cementing,Stage,2
1509,Remedial Cementing,Treatment Interval,1
1510,Remedial Cementing,Treatment Interval,1
1514,Primary Cementing,Stage,1
1515,Remedial Cementing,Stage,1
1519,Remedial Cementing,Treatment Interval,1
1523,Primary Cementing,Treatment Interval,1
1524,Primary Cementing,Stage,1
1525,Primary Cementing,Treatment Interval,1
1528,Primary Cementing,Stage,1
1533,Primary Cementing,Stage,2
1536,Primary Cementing,Stage,1
1538,Primary Cementing,Stage,2
2303,Remedial Cementing,Treatment Interval,1
2304,Remedial Cementing,Treatment Interval,1
4183,Remedial Cementing,Treatment Interval,1
4184,Remedial Cementing,Treatment Interval,1
4187,Remedial Cementing,Treatment Interval,1
4193,Remedial Cementing,Treatment Interval,1
4194,Primary Cementing,Stage,1
4195,Remedial Cementing,Treatment Interval,1
4196,Primary Cementing,Stage,1
4197,Remedial Cementing,Treatment Interval,1
4198,Primary Cementing,Plug,1
4200,Primary Cementing,Stage,1
4201,Primary Cementing,Plug,1
4202,Remedial Cementing,Treatment Interval,1
4228,Remedial Cementing,Treatment Interval,1
4229,Remedial Cementing,Treatment Interval,1
4252,Remedial Cementing,Treatment Interval,1
4253,Remedial Cementing,Treatment Interval,1
4272,Primary Cementing,Stage,1
4273,Primary Cementing,Stage,1
4278,Remedial Cementing,Treatment Interval,1
4279,Remedial Cementing,Treatment Interval,1
4281,Primary Cementing,Plug,1
4282,Remedial Cementing,Plug,1
4283,Remedial Cementing,Treatment Interval,1
4284,Remedial Cementing,Treatment Interval,1
4285,Remedial Cementing,Plug,1
4286,Remedial Cementing,Stage,1
4287,Remedial Cementing,Stage,1
4288,Remedial Cementing,Stage,1
4289,Remedial Cementing,Treatment Interval,1
4290,Remedial Cementing,Plug,1
4291,Remedial Cementing,Stage,1
4292,Remedial Cementing,Stage,1
4293,Remedial Cementing,Treatment Interval,1
4294,Remedial Cementing,Treatment Interval,1
4295,Remedial Cementing,Treatment Interval,1
4296,Remedial Cementing,Treatment Interval,1
4297,Remedial Cementing,Stage,1
4299,Remedial Cementing,Stage,1
4300,Remedial Cementing,Stage,1
4301,Primary Cementing,Treatment Interval,1
4302,Remedial Cementing,Treatment Interval,1
4303,Remedial Cementing,Stage,1
4304,Remedial Cementing,Stage,1
4305,Primary Cementing,Treatment Interval,1
4306,Remedial Cementing,Treatment Interval,1
4298,Remedial Cementing,Treatment Interval,1
,,,
