Item Number,Product Name,Unit
IIN023000,Phosphoric Acid-75,l
IIN023003,"Corrosion Inhibitor, ACW-4",l
IIN023004,"Acids, AG-2",l
IIN023005,"Corrosion Inhibitor, AI-4",l
IIN023008,"Acidizing, AI-8",l
IIN023009,"Acids, Ammonium Bifluoride",kg
IIN023010,"Acids, Ammonium Chloride, Fine",kg
IIN023014,"Antisludge Agent, ASA-3W",l
IIN023015,"Acids, ASA-7",l
IIN023017,"Biocides, Secure BIO-10B",l
IIN023019,"Density Control, Barite",kg
IIN023021,"Biocides, Bioclear 1000",kg
IIN023022,"Free Water Control, GSS-1 (FWC-1), Bentonite Gel,",kg
IIN023023,"Diverting Agents, Benzoic Flakes",kg
IIN023029,"Breaker, Breaker 1Z",l
IIN023030,"Breaker, Breaker 2B",kg
IIN023033,"Breaker, Breaker F",kg
IIN023034,"Breaker, Breaker O",kg
IIN023036,"Density Modifiers, CDM-2, (Bubbles 2000, glass spheres)",kg
IIN023037,"Density Modifiers, CDM-5, (Bubbles 5000, glass spheres)",kg
IIN023038,"Buffer, Buffer A",l
IIN023043,"Crosslinker, BX-1LB",l
IIN023049,"Lost Circulation, LCG-1 (CalCarb 0)",kg
IIN023050,"Lost Circulation, LCG-2 (CalCarb 325)",kg
IIN023051,"Lost Circulation, LCG-4 (CalCarb Poultry Grit)",kg
IIN023052,"Lost Circulation, LCG-5 (CalCarb SuperCalRock)",kg
IIN023053,"Accelerators, Calcium Chloride (Do Not Use)",kg
IIN023054,"Accelerators, CaCl2 (Calcium Chloride)",kg
IIN023055,"Surfactants, CAS-1",l
IIN023056,"Defoamers, CDF-4P",kg
IIN023057,"Lost Circulation, Cell-O-Flake",kg
IIN023058,"Density Modifiers, CDM-C, (Ceramic Spheres)",kg
IIN023059,"Fluid Loss Additive, CFL-2 (DO NOT BUY)",kg
IIN023060,"Fluid Loss Additive, CFL-3",kg
IIN023061,"Fluid Loss Additive, CFL-3L",l
IIN023062,"Fluid Loss Additive, CFL-4",kg
IIN023063,"Fluid Loss Additive, CFL-6 (DO NOT BUY)",kg
IIN023064,"Fluid Loss Additive, CFL-7 (DO NOT BUY)",kg
IIN023065,"Fluid Loss Additive, CFL-8 (DO NOT BUY)",kg
IIN023066,"Fluid Loss Additive, CFL-9",kg
IIN023067,"Dispersants, CFR",kg
IIN023068,"Dispersants, CFR-2",kg
IIN023071,"Dispersants, Citric Acid",kg
IIN023072,"Cement, Class A",mt
IIN023073,"Cement, Class C, Type 3",mt
IIN023074,"Cement, Class G",mt
IIN023076,"Cement, Class R, Recycled - Don't Use",mt
IIN023078,"Retarders, CR-2",kg
IIN023079,"Retarders, MCR-4, (CR-4, TDH,  LDP-C-146)",kg
IIN023082,"Demulsifiers, D-2",l
IIN023083,"Demulsifiers, D-4",l
IIN023084,"Defoamers, DF-1",l
IIN023085,"Defoamers, CDF-3L, (DF-3)",l
