id,name,Yield,Density,BulkDensity,MixWater,SpecificGravity,Bulk Density (T/m3)
1,Class A,0.77584218,1880,0,0.45858329,3.152,0.000
2,Class C,0.88040614,1780,0,0.56712294,3.192,0.000
3,Class G,0.76173553,1901,0,0.44805925,3.188,0.000
4,Intercem,0.87608596,1750,0,0.53315043,2.916,0.000
5,ASM-3,0,0,920.45,0,2.519,0.920
6,ASM-5,0,0,656.9,0,1.321,0.657
7,Bulk Barite,0,0,1563.3,0,4.23,1.563
8,CaCl2,0,0,765,0,2.191,0.765
9,CDF-4P,0,0,0,0,1.612,0.000
10,CDF-6P,0,0,483.3,0,1.6951,0.483
12,CDM-2,0,0,0,0,0.32,0.000
13,CDM-4,0,0,0,0,0.2761,0.000
14,CDM-5,0,0,179,0,0.38,0.179
15,CDM-6,0,0,252.6,0,0.54,0.253
16,CDM-6B,NULL,NULL,NULL,NULL,0.54,NULL
18,CDM-C,0,0,0,0,1.2,0.000
19,CFL-10,0,0,510.15,0,1.504,0.510
20,CFL-3,0,0,582,0,1.287,0.582
21,CFL-3L,0,0,0,0,99999,0.000
22,CFL-4,0,0,334,0,1.4,0.334
23,CFL-6,0,0,531,0,1.288,0.531
24,CFL-7,0,0,743,0,1.582,0.743
25,CFL-8,0,0,518,0,1.504,0.518
26,CFR,0,0,690,0,1.377,0.690
27,CFR-2,0,0,637,0,1.38,0.637
28,CFR-5,0,0,428,0,1.015,0.428
29,Ciment Fondue,1.017,1650,0,0.679,2.95857988,0.000
30,Densified Fume,NULL,NULL,NULL,NULL,2.5,NULL
31,EA-1,0,0,1305,0,3.75,1.305
32,EA-3,0,0,1389,0,3.054,1.389
33,FA-1,0,0,0,0,99999,0.000
34,FA-3,0,0,0,0,99999,0.000
35,Flyash,NULL,NULL,1111.1,NULL,2.1,1.111
36,Flyash (Sask),NULL,NULL,NULL,NULL,2.44,NULL
37,FS-1,0,0,0,0,99999,0.000
38,FWC-2,0,0,321.3,0,2.353,0.321
39,GCA-1,0,0,1205.2,0,2.151,1.205
40,Graphite,0,0,0,0,2.5271,0.000
41,GSS-1,0,0,788.1,0,2.542,0.788
42,Hematite,0,0,1963,0,5.02,1.963
43,HTR,0,0,576,0,1.26,0.576
44,HTR-2,0,0,858.1,0,2.2968,0.858
45,HTR-3,0,0,0,0,1.42,0.000
46,HTR-3A,0,0,1028.85,0,1.7673,1.029
47,KCl,0,0,1235,0,2.77,1.235
48,LCC-1,0,0,1070,0,1.9015,1.070
49,LCC-9,0,0,0,0,2.49,0.000
50,LCF-7,0,0,90,0,99999,0.090
51,LCG-1,0,0,1284,0,2.7688,1.284
53,LCG-2,0,0,972,0,2.7644,0.972
54,LCG-4,0,0,1554,0,2.7151,1.554
55,LCG-5,0,0,1471,0,2.724,1.471
57,LTR,0,0,500.3,0,1.273,0.500
58,LTR-3,0,0,0,0,1.8301,0.000
59,MCR-5,0,0,0,0,2.088,0.000
60,MCR-7,0,0,1199.4,0,1.9583,1.199
61,Micromix,NULL,NULL,NULL,NULL,3.03,NULL
62,NaCl,0,0,1169.7,0,2.158,1.170
64,QSR-2,0,0,1163.6,0,2.063,1.164
65,Sand,0,0,0,0,2.65,0.000
66,Sanlite,NULL,NULL,NULL,NULL,2.4048,NULL
67,SCA-1,0,0,0,0,2.785,0.000
68,SCA-5,0,0,419,0,2.4064,0.419
69,SCA-6,0,0,1031.7,0,2.319,1.032
70,SCA-7,0,0,1471.5,0,2.677,1.472
71,SG1500 AP1,NULL,NULL,NULL,NULL,1.978,NULL
72,Silica Flour - 200 Mesh,0,0,1129.9,0,2.63,1.130
73,Silica Fume - Semi-Densified,NULL,NULL,NULL,NULL,2.5,NULL
74,SPC-II,0,0,1149.8,0,2.476,1.150
75,WIE-1,0,0,349.9,0,1.17,0.350
76,SanSeal,1.0320555,1650,1010,0.70289158,3.03800003,1.010
77,0:1:0 'C',0.88040614,1780,1510,0.567122994,3.19200008,1.510
78,0:1:0 'G',0.76173553,1901,1440,0.44805925,3.18800006,1.440
79,0:1:12 'G',1.44593674,1525,1440,1.08505353,2.77097956,1.440
80,0:1:2 'G',0.87745715,1796,1440,0.55591305,3.10999331,1.440
81,0:1:4 'G',0.98967698,1718,1440,0.66026505,3.03571276,1.440
82,0:1:6 'G',1.08516554,1666,1440,0.7478858,2.96489792,1.440
83,0:1:8 'G',1.21866075,1603,1440,0.87351318,2.89731143,1.440
84,1:1:0 'G',0.867456,1720,1290,0.49202432,2.66360047,1.290
85,1:1:0 'G' (Sask),0.8952644,1720,1350,0.53985477,2.81365477,1.350
86,1:1:12 'G',1.56359058,1446,1290,1.14095198,2.36608772,1.290
87,1:1:12 'G' (Sask),1.60848306,1446,1350,1.20586651,2.48375284,1.350
88,1:1:2 'G',0.98560449,1646,1290,0.60230499,2.60892592,1.290
89,1:1:2 'G' (Sask),1.01659837,1646,1350,0.65332092,2.75271697,1.350
90,1:1:4 'G',1.09971641,1590,1290,0.70854909,2.55645078,1.290
91,1:1:4 'G' (Sask),1.13365208,1590,1350,0.76250681,2.69436278,1.350
92,1:1:6 'G',1.19740011,1552,1290,0.79836497,2.50604496,1.290
93,1:1:6 'G' (Sask),1.23367193,1552,1350,0.85465884,2.6384313,1.350
94,1:1:8 'G',1.33286542,1505,1290,0.92596246,2.45758841,1.290
95,1:1:8 'G' (Sask),1.37251304,1505,1350,0.98563213,2.58477473,1.350
96,2:1:0 'G',0.91602958,1649,1160,0.51053278,2.46611071,1.160
97,2:1:0 'G' (Sask),0.9674246,1649,1360,0.59528317,2.68715042,1.360
98,2:1:12 'G',1.61572947,1413,1160,1.16302575,2.20895026,1.160
99,2:1:12 'G' (Sask),1.69649309,1413,1360,1.27714473,2.38465223,1.360
100,2:1:2 'G',1.03521395,1586,1160,0.62184933,2.41917172,1.160
101,2:1:2 'G' (Sask),1.09213438,1586,1360,0.71212513,2.63151489,1.360
102,2:1:4 'G',1.15012557,1538,1160,0.72889312,2.37398614,1.160
103,2:1:4 'G' (Sask),1.2121244,1538,1360,0.82424733,2.57813642,1.360
104,2:1:6 'G',1.27712497,1494,1160,0.8480247,2.33045763,1.160
105,2:1:6 'G' (Sask),1.34464596,1494,1360,0.94890107,2.52688038,1.360
106,2:1:8 'G',1.38584464,1464,1160,0.94887656,2.28849668,1.160
107,2:1:8 'G' (Sask),1.45773122,1464,1360,1.0541185,2.47762261,1.360
108,ASC IV,0.8833418,1750,1350,0.54584816,2.9630188,1.350
109,Expandomix,0.88606302,1770,1420,0.56833154,3.14731169,1.420
110,EXPANDOmix PRO HT,1.04266698,1600,0,0.66826717,2.67094153,0.000
111,EXPANDOmix PRO HT (SK),1.07750305,1600,0,0.72400488,2.82886896,0.000
112,EXPANDOmix PRO LT,1.03737855,1600,0,0.65980567,2.64849531,0.000
113,EXPANDOmix PRO LT (SK),1.07332052,1600,0,0.71731283,2.80892809,0.000
114,Expandomix HT,0.80525746,1780,1220,0.43335828,2.68890079,1.220
115,Expandomix HT (SK),0.83307527,1780,1280,0.48287398,2.85550062,1.280
116,Expandomix LWL,0.88455872,1770,1420,0.56566893,3.13587964,1.420
117,Glacial Mix,0.76608639,1850,1520,0.41725982,2.8667541,1.520
118,iBond,0.83982968,1780,1240,0.49489684,2.89911509,1.240
119,iGain (SK),1.278920177,1500,1200,0.928,2.773618031,1.200
120,iGain (AB),1.245845714,1500,1290,0.876,2.651977237,1.290
121,iPrime (AB),1.2490845,1500,1190,0.87362676,2.6634156,1.190
122,iPrime (SK),1.27894399,1500,1250,0.91841598,2.77370959,1.250
123,LCS 1600,0.999504788,1600,1190,0.5992,2.498144335,1.190
124,LCS 1820,0.82570016,1820,1410,0.50277429,3.09668594,1.410
125,LITEmix 1325 (AB),1.882868969,1325,1107.5,1.4948,2.576870726,1.108
126,LITEmix 1325 (SK),1.93921918,1325,1052.9,1.56946541,2.70450251,1.053
127,LITEmix 1400 (AB),1.53100444,1400,1115.8,1.14340622,2.57999121,1.116
128,LITEmix 1400 (SK),1.58043848,1400,1128.4,1.21261387,2.71868704,1.128
129,LITEmix EC,1.37264743,1500,0,1.05897114,3.18799996,0.000
130,PRODUCTIONmix 1500 PRO,1.258294273,1500,1217,0.8874,2.696487203,1.217
131,PRODUCTIONmix 1600,1.039,1600,1163.3,0.662,2.65251989,1.163
132,PRODUCTIONmix 1600 (SK),1.063,1600,1177.1,0.7,2.75482094,1.177
133,PRODUCTIONmix 1725,0.94028543,1725,1166,0.62199237,3.14175873,1.166
134,PRODUCTIONmix EC,0.96557801,1640,0,0.58354793,2.61759493,0.000
135,PRODUCTIONmix EC (Sask),1.00933045,1640,0,0.65530193,2.82463119,0.000
136,PRODUCTIONmix LW,1.261,1500,1210,0.891,2.706,1.210
137,PRODUCTIONmix LW (SK),1.304,1500,0,0.956,2.87356322,0.000
138,PRODUCTIONmix THX ,1.127,1550,1091,0.748,2.675,1.091
139,Proteus Core,0.92635697,1700,1330,0.57480685,2.84454461,1.330
140,Proteus LCS,0.8643948,1750,1320,0.51269091,2.84330094,1.320
141,Proteus Pro,0.89443382,1725,1330,0.54289834,2.84466308,1.330
142,RAS II,0.87839406,1740,1250,0.52840566,2.85723755,1.250
143,SURFACEmix LW PRO + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
144,SanSeal HT,1.30195144,1500,720,0.95292717,2.86513027,0.720
145,SSi,0.87608596,1750,1410,0.53315043,2.91599998,1.410
146,Superlite 13,1.47613446,1300,934.8,0.9189748,1.79481767,0.935
147,Superlite 13 (CDM-5),1.47978,1300,895.6,0.923714,1.79834768,0.896
148,SUPERLITEmix PRO HT ,1.62239786,1200,787,0.94687743,1.48034013,0.787
149,SUPERLITEmix PRO ,1.70190556,1175,730,0.99973903,1.42416358,0.730
150,SURFACEmix LW (SK) ,1.063866689,1600,1170,0.7022,2.764875132,1.170
151,SURFACEmix LW PRO,1.146,1550,1190.5,0.777,2.7100271,1.191
152,SURFACEmix LW PRO (SK),1.185,1550,1200,0.837,2.87356322,1.200
153,SURFACEmix PRO,0.98082176,1700,1220,0.66739699,3.1905583,1.220
154,SURFACEmix PRO SL,0.964,1700,1027,0.639,3.07692308,1.027
155,SURFACEmix SLW,1.399,1200,710.5,0.679,1.38888889,0.711
156,SurfLite (SK) ,0.895741975,1730,1370,0.556,2.889268568,1.370
157,Thermal 40,0.75399987,1885,1350,0.42128975,3.00561943,1.350
158,Thermal 40 EXP,0.81256874,1820,1340,0.4788751,2.99676074,1.340
159,THERMAmix EC,0.831006343,1750,0,0.4542611,2.65431356,0.000
160,THERMAmix LT,0.777286904,1840,1210,0.4302,2.881188428,1.210
162,ThixLite HT (AB) ,1.248627036,1500,1110,0.8729,2.661793937,1.110
163,ThixLite HT (SK) ,1.293,1500,1260,0.939,2.807582723,1.260
164,SURFACEmix LW PRO ESTVN,1.168,1550,0,0.81,2.79329609,0.000
165,LDP-C-0117,1.384,1200,1719,0.661,1.38312586,1.719
166,SUPERLITEmix 1160,2.143617,1160,0,1.486596,1.522020214,0.000
167,0:1:0 'A' + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
168,0:1:0 'C' + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
169,0:1:0 'G' + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
170,0:1:12 'G' + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
171,0:1:2 'G' + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
172,0:1:4 'G' + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
173,0:1:6 'G' + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
174,0:1:8 'G' + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
175,1:1:0 'G' + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
176,1:1:12 'G' + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
177,1:1:2 'G' + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
178,1:1:4 'G' + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
179,1:1:6 'G' + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
180,1:1:8 'G' + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
181,2:1:0 'G' + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
182,2:1:12 'G' + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
183,2:1:2 'G' + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
184,2:1:4 'G' + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
185,2:1:6 'G' + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
186,2:1:8 'G' + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
187,1:1:0 'G' (Sask) + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
189,1:1:12 'G' (Sask) + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
190,1:1:2 'G' (Sask) + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
191,1:1:4 'G' (Sask) + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
192,1:1:6 'G' (Sask) + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
193,1:1:8 'G' (Sask) + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
194,2:1:0 'G' (Sask) + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
195,2:1:12 'G' (Sask) + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
196,2:1:2 'G' (Sask) + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
197,2:1:4 'G' (Sask) + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
198,2:1:6 'G' (Sask) + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
199,2:1:8 'G' (Sask) + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
