Product Name,District,,,,,,,,
100 Mesh Sand,71,66,67,85,,,,,
20/40 Mesh Sand,,,,,,,,,
ACW-3,,,,,,,,,
ACW-4,71,66,67,85,,,,,
AI-4,,,,,,,,,
Al-4,,,,,,,,,
Al-8,,,,,,,,,
Aninimax,,,,,,,,,
ASA-3,,,,,,,,,
ASA-3w,,,,,,,,,
ASM-3,72,70,88,,,,,,
ASM-5,70,72,88,,,,,,
ASM-6,70,72,88,65,65,,,,
ASW-4,,,,,,,,,
AWC-4,,,,,,,,,
B-1008,,,,,,,,,
Barite,70,72,88,85,67,,,,
BE-1,,,,,,,,,
Bio-10b,,,,,,,,,
Bio-20D,,,,,,,,,
Bio-Clear 2000,,,,,,,,,
Breaker - F,,,,,,,,,
Breaker-1Z,,,,,,,,,
Buffer A,,,,,,,,,
Bulk Barite,70,72,88,85,67,,,,
Bulk Calcium Carbonate (325),,,,,,,,,
Bulk Ground Silica,,,,,,,,,
BX-1LB,,,,,,,,,
CaCl2,,,,,,,,,
CaCO3,,,,,,,,,
CDF-3,,,,,,,,,
CDF-3L,,,,,,,,,
CDF-3P,,,,,,,,,
CDF-4P,,,,,,,,,
CDF-6P,,,,,,,,,
CDM-10,65,65,85,67,71,66,,,
CDM-2,,,,,,,,,
CDM-4,85,72,70,88,,,,,
CDM-4X,,,,,,,,,
CDM-5,,,,,,,,,
CDM-6,,,,,,,,,
CDM-6B,,,,,,,,,
CDM-C,,,,,,,,,
CDP-6P,,,,,,,,,
CelloFlake,,,,,,,,,
CFL -7,,,,,,,,,
CFL-10,,,,,,,,,
CFL-11,,,,,,,,,
CFL-12,72,70,88,,,,,,
CFL-14,,,,,,,,,
CFL-2,,,,,,,,,
CFL-3,,,,,,,,,
CFL-3L,,,,,,,,,
CFL-4,72,70,88,,,,,,
CFL-6,,,,,,,,,
CFL-7,,,,,,,,,
CFL-8,,,,,,,,,
CFR,67,85,65,65,72,70,88,71,66
CFR-15,,,,,,,,,
CFR-2,72,70,88,,,,,,
CFR-5,72,70,88,65,65,,,,
Ciment Fondue,,,,,,,,,
CLA-3P,,,,,,,,,
Class A,,,,,,,,,
Class C,,,,,,,,,
Class G,,,,,,,,,
D139 Foam Stabilizer,67,85,65,65,72,70,88,71,66
D-2,,,,,,,,,
D205 - CemFIT Heal* Additive,,,,,,,,,
D258 (swelling),,,,,,,,,
D270 Fulcrum*,67,85,65,65,72,70,88,,
D273 Fulcrum*,,,,,,,,,
Densified Fume,,,,,,,,,
DF-1,67,85,65,65,72,70,88,,
DF-3,,,,,,,,,
DF-6P,,,,,,,,,
EA-1,,,,,,,,,
EA-3,,,,,,,,,
ECOcem,,,,,,,,,
ENVIROmix,,,,,,,,,
FA-1,,,,,,,,,
FA-3,67,85,65,65,72,70,88,71,66
FFA-1,67,85,65,65,72,70,88,71,66
FFA-2,67,85,65,65,72,70,88,71,66
Flyash,,,,,,,,,
Flyash (Sask),,,,,,,,,
FS-1,67,85,65,65,72,70,88,71,66
Fulcrum*,,,,,,,,,
FWC-1,,,,,,,,,
FWC-2,,,,,,,,,
FWC-3,,,,,,,,,
FWCA,,,,,,,,,
FWCA-H,,,,,,,,,
GCA-1,,,,,,,,,
GCA-2,65,65,72,70,88,,,,
Graphite,,,,,,,,,
GSS-1,,,,,,,,,
Hematite,67,85,65,65,72,70,88,71,66
HSSW-1,,,,,,,,,
HTR,,,,,,,,,
HTR-2,,,,,,,,,
HTR-3,67,85,65,65,72,70,88,71,66
HTR-3A,67,85,65,65,72,70,88,71,66
ICA-7,,,,,,,,,
ICA-8,,,,,,,,,
ICA-8C,,,,,,,,,
Intercem,,,,,,,,,
IPG-4,67,85,65,65,72,70,88,71,66
ISA-1,,,,,,,,,
KCI,67,85,65,65,,,,,
LCC-1,,,,,,,,,
LCC-9,67,85,71,66,70,72,88,,
LCF-6,,,,,,,,,
LCF-7,,,,,,,,,
LCG-1,,,,,,,,,
LCG-12,,,,,,,,,
LCG-2,,,,,,,,,
LCG-4,,,,,,,,,
LCG-5,,,,,,,,,
LCM,,,,,,,,,
LDP-C-0120,,,,,,,,,
LDP-C-0518,,,,,,,,,
LDP-C-0718,,,,,,,,,
LFC-7,,,,,,,,,
LFF-7,,,,,,,,,
Liquid Latex,67,85,65,65,72,70,88,71,66
LTR,,,,,,,,,
LTR-3,,,,,,,,,
MCR,,,,,,,,,
MCR-4,,,,,,,,,
MCR-5,,,,,,,,,
MCR-7,70,88,,,,,,,
MCR-9L,70,88,,,,,,,
Micromix,,,,,,,,,
MS-1,,,,,,,,,
MT-1,65,65,70,72,88,,,,
MT-2,,,,,,,,,
MUS 10,,,,,,,,,
NaCl,67,85,65,65,72,70,88,71,66
OILSPERSE-G,,,,,,,,,
PA-1,,,,,,,,,
QSR,,,,,,,,,
QSR-2,,,,,,,,,
Red Dye,,,,,,,,,
RP-20,,,,,,,,,
S-1,,,,,,,,,
S-101,,,,,,,,,
SA-2P,,,,,,,,,
SA-3P,67,85,65,65,72,70,88,71,66
SANJET Sand,,,,,,,,,
SanSeal,,,,,,,,,
SAPP,65,65,70,72,88,,,,
SCA 7,,,,,,,,,
SCA-1,,,,,,,,,
SCA-5,,,,,,,,,
SCA-6,,,,,,,,,
SCA-7,,,,,,,,,
SCC-1L,,,,,,,,,
SCC-2L,67,85,65,65,72,70,88,71,66
SEA-1,,,,,,,,,
SEA-3,,,,,,,,,
SG1500 AP1,,,,,,,,,
"SI-12, scale inhibitor",,,,,,,,,
"SI-14W, scale inhibitor",,,,,,,,,
