Bulk Plant,Bin Name,Bin Description,Volum(M3)
RD Bulk Plant,Silo 9,1598 Silo 1400 Cu Ft,39.6
RD Bulk Plant,Silo 10,1568 Silo 750 Cu Ft,21.2
RD Bulk Plant,Silo 11,2110  Cement Mega Silo,80.7
RD Bulk Plant,Silo 12,1541 Silo 2100 Cu Ft,59.4
RD Bulk Plant,1567-1,1567 Lay Down Skid,83.7
RD Bulk Plant,1567-2,1567 Lay Down Skid,83.7
RD Bulk Plant,1567-3,1567 Lay Down Skid,83.7
EDM Bulk Plant,Silo 1,1584 Silo 2100 Cu Ft,59.4
EST Bulk Plant,Silo 1,1711 Silo 1200 Cu Ft,34
EST Bulk Plant,Silo 2,1653 Silo 2100 Cu Ft,59.4
EST Bulk Plant,Silo 3,1652 Silo 2100 Cu Ft,59.4
EST Bulk Plant,Silo 7,1510 Silo 2100 Cu Ft,59.4
EST Bulk Plant,Silo 8,1713 Silo 2100 Cu Ft,59.4
EST Bulk Plant,Silo 9,1718 Silo 2100 Cu Ft,59.4
EST Bulk Plant,Silo 10,1756 Silo 2100 Cu Ft,59.4
EST Bulk Plant,Silo 11,1774 Silo 2100 Cu Ft,59.4
GP Bulk Plant,Silo 1,1588 Silo 2100 Cu Ft,59.4
GP Bulk Plant,Silo 2,1591 Silo 2100 Cu Ft,59.4
GP Bulk Plant,Silo 3,1590 Silo 2100 Cu Ft,59.4
GP Bulk Plant,Silo 4,1589 Silo 2100 Cu Ft,59.4
GP Bulk Plant,Silo 5,1772 Bin - P -Tank,30
GP Bulk Plant,Silo 6,1593 Silo 2100 Cu Ft,59.4
GP Bulk Plant,Silo 7,1527 Silo 1000 Cu Ft,28.3
GP Bulk Plant,P-tank 1982,1772 Bin - P -Tank,30
GP Bulk Plant,Mega 2116,2116  Cement Mega Silo,80.7
GP Bulk Plant,4 LCG-1,1795 Lay Down Skid,83.7
GP Bulk Plant,5 CDM-4,1795 Lay Down Skid,83.7
GP Bulk Plant,6 CDM-4,1795 Lay Down Skid,83.7
GP Bulk Plant,2114,2114  Cement Mega Silo,80.7
GP Bulk Plant,2042,2042  Cement Mega Silo,80.7
GP Bulk Plant,N1,1680 Lay Down Skid,83.7
GP Bulk Plant,N2,1680 Lay Down Skid,83.7
GP Bulk Plant,N3-Flour,1680 Lay Down Skid,83.7
GP Bulk Plant,2049-1,2049 Lay Down Skid,83.7
GP Bulk Plant,2049-2,2049 Lay Down Skid,83.7
GP Bulk Plant,2049-3,2049 Lay Down Skid,83.7
SC Bulk Plant,Silo 1,1643 Silo 2100 Cu Ft,59.4
SC Bulk Plant,Silo 2,1657 Silo 2100 Cu Ft,59.4
SC Bulk Plant,Silo 3,1658 Silo 2100 Cu Ft,59.4
SC Bulk Plant,Silo 4,1678 Silo 2100 Cu Ft,59.4
SC Bulk Plant,Silo 5,1710 Silo 2100 Cu Ft,59.4
SC Bulk Plant,Silo 6,1643 Silo 2100 Cu Ft,59.4
SC Bulk Plant,Silo 8,1773 Silo 2100 Cu Ft,59.4
SC Bulk Plant,Silo 10,1613 Silo 750 Cu Ft,21.2
SC Bulk Plant,Silo 11,1571 Silo 750 Cu Ft,21.2
SC Bulk Plant,P-Tank 2028,1772 Bin - P -Tank,30
SC Bulk Plant,Mega 2046,2046  Cement Mega Silo,80.7
LLD Bulk Plant,Silo 1,1752 Silo 2100 Cu Ft,59.4
LLD Bulk Plant,Silo 2,1570 Silo 2100 Cu Ft,59.4
LLD Bulk Plant,Silo 3,1550 Silo 2100 Cu Ft,59.4
LLD Bulk Plant,Silo 4,1501 Silo 2100 Cu Ft,59.4
LLD Bulk Plant,Silo 5,1564 Silo 750 Cu Ft,21.2
LLD Bulk Plant,Silo 6,1599 Silo 2100 Cu Ft,59.4
LLD Bulk Plant,Silo 7,1505 Silo 750 Cu Ft,21.2
LLD Bulk Plant,Silo 8,1503 Silo 2100 Cu Ft,59.4
LLD Bulk Plant,Silo 9,1502 Silo 2100 Cu Ft,59.4
LLD Bulk Plant,Silo 10,1569 Silo 2100 Cu Ft,59.4
LLD Bulk Plant,P-Tank 1893,1772 Bin - P -Tank,30
LLD Bulk Plant,P-Tank 2104,1772 Bin - P -Tank,30
LLD Bulk Plant,P-Tank 2065,1772 Bin - P -Tank,30
LLD Bulk Plant,P-Tank 1918,1772 Bin - P -Tank,30
LLD Bulk Plant,Storage 1,1744 Lay Down Skid,83.7
LLD Bulk Plant,Storage 2,1744 Lay Down Skid,83.7
LLD Bulk Plant,Storage 3,1744 Lay Down Skid,83.7
LLD Bulk Plant,2043,2043  Cement Mega Silo,80.7
LLD Bulk Plant,2044,2044  Cement Mega Silo,80.7
LLD Bulk Plant,2091,2091  Cement Mega Silo,80.7
LLB Bulk Plant,Silo 1,1993 Silo 2100 Cu Ft,59.4
LLB Bulk Plant,Silo 2,1996 Silo 2100 Cu Ft,59.4
LLB Bulk Plant,Silo 3,1998 Silo 2100 Cu Ft,59.4
LLB Bulk Plant,Silo 4,1997 Silo 2100 Cu Ft,59.4
LLB Bulk Plant,Silo 5,1931 Silo 2100 Cu Ft,59.4
LLB Bulk Plant,Silo 6,1995 Silo 2100 Cu Ft,59.4
LLB Bulk Plant,Silo 7,1930 Silo 2100 Cu Ft,59.4
LLB Bulk Plant,Silo 8,1994 Silo 2100 Cu Ft,59.4
LLB Bulk Plant,Silo 9,1731 Silo 2100 Cu Ft,59.4
LLB Bulk Plant,Silo 10,1749 Silo 2100 Cu Ft,59.4
LLB Bulk Plant,Silo 11,1737 Silo 2100 Cu Ft,59.4
LLB Bulk Plant,Silo 12,1732 Silo 2100 Cu Ft,59.4
LLB Bulk Plant,Silo 13,1748 Silo 2100 Cu Ft,59.4
LLB Bulk Plant,Silo 14,1730 Silo 2100 Cu Ft,59.4
LLB Bulk Plant,Silo 15,1523 Silo 2100 Cu Ft,59.4
LLB Bulk Plant,Silo 16,1524 Silo 2100 Cu Ft,59.4
LLB Bulk Plant,Silo 17,1522 Silo 2100 Cu Ft,59.4
LLB Bulk Plant,1988-1,1988 Lay Down Skid,83.7
LLB Bulk Plant,1988-2,1988 Lay Down Skid,83.7
LLB Bulk Plant,1988-3,1988 Lay Down Skid,83.7
LLB Bulk Plant,1681-1,1681 Lay Down Skid,83.7
LLB Bulk Plant,1681-2,1681 Lay Down Skid,83.7
LLB Bulk Plant,11681988-3,1681 Lay Down Skid,83.7
RD Bulk Plant,Silo 1,1577 Silo 2100 Cu Ft,59.4
RD Bulk Plant,Silo 2,1552 Silo 2100 Cu Ft,59.4
RD Bulk Plant,Silo 3,1576 Silo 2100 Cu Ft,59.4
RD Bulk Plant,Silo 4,1592 Silo 2100 Cu Ft,59.4
RD Bulk Plant,Silo 5,1578 Silo 2100 Cu Ft,59.4
RD Bulk Plant,Silo 6,1720 Silo 2100 Cu Ft,59.4
RD Bulk Plant,Silo 8,1719 Silo 2100 Cu Ft,59.4
EDM Bulk Plant,Silo 2,1543 Silo 2100 Cu Ft,59.4
EDM Bulk Plant,Silo 3,1525 Silo 2100 Cu Ft,59.4
EDM Bulk Plant,Silo 4,1542 Silo 2100 Cu Ft,59.4
EDM Bulk Plant,Silo 5,1540 Silo 2100 Cu Ft,59.4
EDM Bulk Plant,Silo 6,1585 Silo 2100 Cu Ft,59.4
EDM Bulk Plant,Silo 7,1747 Silo 2100 Cu Ft,59.4
EDM Bulk Plant,Silo 8,1746 Silo 2100 Cu Ft,59.4
EDM Bulk Plant,Silo 9,1735 Silo 2100 Cu Ft,59.4
EDM Bulk Plant,Silo 10,1738 Silo 2100 Cu Ft,59.4
EDM Bulk Plant,Silo 11,1745 Silo 2100 Cu Ft,59.4
EDM Bulk Plant,Silo 12,1751 Silo 2100 Cu Ft,59.4
EDM Bulk Plant,Silo 13,1734 Silo 2100 Cu Ft,59.4
EDM Bulk Plant,Silo 14,1710 Silo 2100 Cu Ft,59.4
EDM Bulk Plant,P-tank 1912,1772 Bin - P -Tank,30
