ID,BIN_NUMBER,CAPACITY,DESCRIPTION,DISTRICT_ID,ACQUIRED_DATE,STATUS,BIN_TYPE_ID,VERSION,LAST_MODIFIED_USER_ID,LAST_MODIFIED_USER_NAME,LAST_MODIFIED_DATE_TIME,LAST_OPERATION_TYPE,EFFECTIVE_START_DATE_TIME,EFFECTIVE_END_DATE_TIME
131,1772,,1772 Bin - P -Tank,81,,A,7,1,29747,awang,11/27/2017,1,11/27/2017,12/31/9999
132,1819,,1819 Bin - P -Tank,81,,A,7,1,29747,awang,11/27/2017,1,11/27/2017,12/31/9999
133,1821,,1821 Bin - P -Tank,81,,A,7,1,29747,awang,11/27/2017,1,11/27/2017,12/31/9999
134,1862,,1862 Bin - P -Tank,81,,A,7,1,29747,awang,11/27/2017,1,11/27/2017,12/31/9999
135,1863,,1863 Bin - P -Tank,81,,A,7,1,29747,awang,11/27/2017,1,11/27/2017,12/31/9999
136,1866,,1866 Bin - P -Tank,81,,A,7,1,29747,awang,11/27/2017,1,11/27/2017,12/31/9999
137,1867,,1867 Bin - P -Tank,81,,A,7,1,29747,awang,11/27/2017,1,11/27/2017,12/31/9999
138,1906,,1906 Bin - P -Tank,81,,A,7,1,29747,awang,11/27/2017,1,11/27/2017,12/31/9999
139,1924,,1924 Bin - P -Tank,81,,A,7,1,29747,awang,11/27/2017,1,11/27/2017,12/31/9999
140,1928,,1928 Bin - P -Tank,81,,A,7,1,29747,awang,11/27/2017,1,11/27/2017,12/31/9999
141,1929,,1929 Bin - P -Tank,81,,A,7,1,29747,awang,11/27/2017,1,11/27/2017,12/31/9999
142,1937,,1937 Bin - P -Tank,81,,A,7,1,29747,awang,11/27/2017,1,11/27/2017,12/31/9999
143,1957,,1957 Bin - P -Tank,81,,A,7,1,29747,awang,11/27/2017,1,11/27/2017,12/31/9999
144,1958,,1958 Bin - P -Tank,81,,A,7,1,29747,awang,11/27/2017,1,11/27/2017,12/31/9999
145,1969,,1969 Bin - P -Tank,81,,A,7,1,29747,awang,11/27/2017,1,11/27/2017,12/31/9999
146,1973,,1973 Bin - P -Tank,81,,A,7,1,29747,awang,11/27/2017,1,11/27/2017,12/31/9999
147,1974,,1974 Bin - P -Tank,81,,A,7,1,29747,awang,11/27/2017,1,11/27/2017,12/31/9999
148,2042P,,2042 Bin - P -Tank,81,,A,7,1,29747,awang,11/27/2017,1,11/27/2017,12/31/9999
149,2044P,,2044 Bin - P -Tank,81,,A,7,1,29747,awang,11/27/2017,1,11/27/2017,12/31/9999
150,2128,,2128 Bin - P -Tank,81,,A,7,1,29747,awang,11/27/2017,1,11/27/2017,12/31/9999
151,2129,,2129 Bin - P -Tank,81,,A,7,1,29747,awang,11/27/2017,1,11/27/2017,12/31/9999
152,2130,,2130 Bin - P -Tank,81,,A,7,1,29747,awang,11/27/2017,1,11/27/2017,12/31/9999
153,2131,,2131 Bin - P -Tank,81,,A,7,1,29747,awang,11/27/2017,1,11/27/2017,12/31/9999
154,2134,,2134 Bin - P -Tank,81,,A,7,1,29747,awang,11/27/2017,1,11/27/2017,12/31/9999
155,1815,,1815 Bin - P -Tank,71,,A,7,1,29747,awang,11/27/2017,1,11/27/2017,12/31/9999
156,1822,,1822 Bin - P -Tank,71,,A,7,1,29747,awang,11/27/2017,1,11/27/2017,12/31/9999
157,1827,,1827 Bin - P -Tank,71,,A,7,1,29747,awang,11/27/2017,1,11/27/2017,12/31/9999
158,1831,,1831 Bin - P -Tank,71,,A,7,1,29747,awang,11/27/2017,1,11/27/2017,12/31/9999
159,1892,,1892 Bin - P -Tank,71,,A,7,1,29747,awang,11/27/2017,1,11/27/2017,12/31/9999
160,1905,,1905 Bin - P -Tank,71,,A,7,1,29747,awang,11/27/2017,1,11/27/2017,12/31/9999
161,1916,,1916 Bin - P -Tank,71,,A,7,1,29747,awang,11/27/2017,1,11/27/2017,12/31/9999
162,1925,,1925 Bin - P -Tank,71,,A,7,1,29747,awang,11/27/2017,1,11/27/2017,12/31/9999
163,1926,,1926 Bin - P -Tank,71,,A,7,1,29747,awang,11/27/2017,1,11/27/2017,12/31/9999
164,1927,,1927 Bin - P -Tank,71,,A,7,1,29747,awang,11/27/2017,1,11/27/2017,12/31/9999
165,1938,,1938 Bin - P -Tank,71,,A,7,1,29747,awang,11/27/2017,1,11/27/2017,12/31/9999
166,1949,,1949 Bin - P -Tank,71,,A,7,1,29747,awang,11/27/2017,1,11/27/2017,12/31/9999
167,1950,,1950 Bin - P -Tank,71,,A,7,1,29747,awang,11/27/2017,1,11/27/2017,12/31/9999
168,1952,,1952 Bin - P -Tank,71,,A,7,1,29747,awang,11/27/2017,1,11/27/2017,12/31/9999
169,1953,,1953 Bin - P -Tank,71,,A,7,1,29747,awang,11/27/2017,1,11/27/2017,12/31/9999
170,1954,,1954 Bin - P -Tank,71,,A,7,1,29747,awang,11/27/2017,1,11/27/2017,12/31/9999
171,1955,,1955 Bin - P -Tank,71,,A,7,1,29747,awang,11/27/2017,1,11/27/2017,12/31/9999
172,1956,,1956 Bin - P -Tank,71,,A,7,1,29747,awang,11/27/2017,1,11/27/2017,12/31/9999
173,1959,,1959 Bin - P -Tank,71,,A,7,1,29747,awang,11/27/2017,1,11/27/2017,12/31/9999
174,1961,,1961 Bin - P -Tank,71,,A,7,1,29747,awang,11/27/2017,1,11/27/2017,12/31/9999
175,1963,,1963 Bin - P -Tank,71,,A,7,1,29747,awang,11/27/2017,1,11/27/2017,12/31/9999
176,1964,,1964 Bin - P -Tank,71,,A,7,1,29747,awang,11/27/2017,1,11/27/2017,12/31/9999
177,1965,,1965 Bin - P -Tank,71,,A,7,1,29747,awang,11/27/2017,1,11/27/2017,12/31/9999
178,1967,,1967 Bin - P -Tank,71,,A,7,1,29747,awang,11/27/2017,1,11/27/2017,12/31/9999
179,1970,,1970 Bin - P -Tank,71,,A,7,1,29747,awang,11/27/2017,1,11/27/2017,12/31/9999
180,1979,,1979 Bin - P -Tank,71,,A,7,1,29747,awang,11/27/2017,1,11/27/2017,12/31/9999
181,1980,,1980 Bin - P -Tank,71,,A,7,1,29747,awang,11/27/2017,1,11/27/2017,12/31/9999
182,1981,,1981 Bin - P -Tank,71,,A,7,1,29747,awang,11/27/2017,1,11/27/2017,12/31/9999
183,1982,,1982 Bin - P -Tank,71,,A,7,1,29747,awang,11/27/2017,1,11/27/2017,12/31/9999
184,2029,,2029 Bin - P -Tank,71,,A,7,1,29747,awang,11/27/2017,1,11/27/2017,12/31/9999
185,2035,,2035 Bin - P -Tank,71,,A,7,1,29747,awang,11/27/2017,1,11/27/2017,12/31/9999
186,2036,,2036 Bin - P -Tank,71,,A,7,1,29747,awang,11/27/2017,1,11/27/2017,12/31/9999
187,2043P,,2043 Bin - P -Tank,71,,A,7,1,29747,awang,11/27/2017,1,11/27/2017,12/31/9999
188,2045P,,2045 Bin - P -Tank,71,,A,7,1,29747,awang,11/27/2017,1,11/27/2017,12/31/9999
189,2068,,2068 Bin - P -Tank,71,,A,7,1,29747,awang,11/27/2017,1,11/27/2017,12/31/9999
190,2071,,2071 Bin - P -Tank,71,,A,7,1,29747,awang,11/27/2017,1,11/27/2017,12/31/9999
