Id,NAME,RIG_NO,DRILLINGCOMPANY_ID,DRILLINGCOMPANY_NAME,STATUS,IS_SERVICE_RIG,IS_DELETED,IS_TOP_DRIVE,SIZE_TYPE_VALUE,SIZE_TYPE_UNIT,RIG_SIZE_TYPE_ID,RIG_SIZE_TYPE_NAME,THREAD_TYPE_ID,THREAD_TYPE_NAME,VERSION,LAST_MODIFIED_USER_ID,LAST_MODIFIED_USER_NAME,LAST_MODIFIED_DATE_TIME,LAST_OPERATION_TYPE,EFFECTIVE_START_DATE_TIME,EFFECTIVE_END_DATE_TIME
1,Akita 12,12,30076,Akita Drilling Ltd.,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
2,Akita 21,21,30076,Akita Drilling Ltd.,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
3,Akita 25,25,30076,Akita Drilling Ltd.,0,0,0,0,,,1,,,,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
4,Akita 27,27,30076,Akita Drilling Ltd.,0,0,0,0,,,2,Single,,,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
5,Akita 31,31,30076,Akita Drilling Ltd.,0,0,0,0,,,1,,,,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
6,Akita 32E,32E,30076,Akita Drilling Ltd.,0,0,0,0,,,1,,,,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
7,Akita 40,40,30076,Akita Drilling Ltd.,0,0,0,0,,,4,Triple,,,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
8,Akita 6,6,30076,Akita Drilling Ltd.,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
9,Akita 8,8,30076,Akita Drilling Ltd.,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
10,Akita 80,80,30076,Akita Drilling Ltd.,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
11,Akita 90,90,30076,Akita Drilling Ltd.,0,0,0,1,114.3,,4,Triple,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
12,Alliance 2,2,30177,Alliance Drilling And Oilfield Service Ltd,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
13,Alliance  8,8,30177,Alliance Drilling And Oilfield Service Ltd,0,0,0,0,,,1,,,,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
14,Beaver 3,3,30081,Beaver Drilling Ltd.,0,0,0,0,,,1,,,,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
15,Beaver 6,6,30081,Beaver Drilling Ltd.,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
16,Betts 1,1,30217,Betts Drilling Ltd.,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
17,Betts 2,2,30217,Betts Drilling Ltd.,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
18,Bonanza10,10,30155,Bonanza Drilling Inc.,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
19,Bonanza2,2,30155,Bonanza Drilling Inc.,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
20,Bonanza4,4,30155,Bonanza Drilling Inc.,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
21,Bonanza5,5,30155,Bonanza Drilling Inc.,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
22,Bonanza6,6,30155,Bonanza Drilling Inc.,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
23,Bonanza7,7,30155,Bonanza Drilling Inc.,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
24,Bonanza8,8,30155,Bonanza Drilling Inc.,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
25,Bonanza9,9,30155,Bonanza Drilling Inc.,0,0,0,0,,,1,,,,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
26,Ironhand 0,0,30215,CWC Ironhand Drilling,0,0,0,0,,,1,,,,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
27,Ironhand 1,1,30215,CWC Ironhand Drilling,0,0,0,0,,,1,,,,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
28,Ironhand 110,110,30215,CWC Ironhand Drilling,0,0,0,0,,,1,,,,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
29,Ironhand 126,126,30215,CWC Ironhand Drilling,0,0,0,0,,,1,,,,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
30,Ironhand 127,127,30215,CWC Ironhand Drilling,0,0,0,0,,,1,,,,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
31,Ironhand 129,129,30215,CWC Ironhand Drilling,0,0,0,0,,,1,,,,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
32,Ironhand 139,139,30215,CWC Ironhand Drilling,0,0,0,0,,,1,,,,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
33,Ironhand 208,208,30215,CWC Ironhand Drilling,0,0,0,0,,,1,,,,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
34,Ironhand 255,255,30215,CWC Ironhand Drilling,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
35,Camaro 1,1,30086,Camaro Drilling Ltd,0,0,0,0,,,1,,,,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
36,Canadian 142,142,30151,Canadian Well Services Corp,0,0,0,0,,,1,,,,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
37,Chinook17,17,30089,Chinook Drilling,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
38,Chinook18,18,30089,Chinook Drilling,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
39,Chinook19,19,30089,Chinook Drilling,0,0,0,1,114.3,,3,Double,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
40,Chinook3,3,30089,Chinook Drilling,0,0,0,0,0,,1,,1,,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
41,Citadel 2,2,30216,Citadel Drilling Ltd.,0,0,0,1,114.3,,3,Double,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
42,Citadel 1,1,30216,Citadel Drilling Ltd.,0,0,0,0,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
43,Concord 118,118,30012,Concord Well Servicing,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
44,Concord 119,119,30012,Concord Well Servicing,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
45,Concord 120,120,30012,Concord Well Servicing,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
46,Concord 124,124,30012,Concord Well Servicing,0,0,0,0,,,1,,,,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
47,Concord 135,135,30012,Concord Well Servicing,0,0,0,0,,,1,,,,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
48,Concord 144,144,30012,Concord Well Servicing,0,0,0,0,,,1,,,,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
49,Concord 148,148,30012,Concord Well Servicing,0,0,0,0,,,1,,,,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
50,Concord 149,149,30012,Concord Well Servicing,0,0,0,0,,,1,,,,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
