ID,NAME,RIG_NO,RIG_SIZE_TYPE_CAT,RIG_SIZE_TYPE_ID,RIG_SIZE_TYPE_NAME,DRILLINGCOMPANY_ID,DRILLINGCOMPANY_NAME,STATUS,IS_SERVICE_RIG,IS_DELETED,IS_TOP_DRIVE,SIZE_TYPE_VALUE,SIZE_TYPE_UNIT,THREAD_TYPE_ID,THREAD_TYPE_NAME,THREAD_TYPE_CATEGORY,VERSION,LAST_MODIFIED_USER_ID,LAST_MODIFIED_USER_NAME,LAST_MODIFIED_DATE_TIME,LAST_OPERATION_TYPE,EFFECTIVE_START_DATE_TIME,EFFECTIVE_END_DATE_TIME
1,Akita Drilling Ltd. 12,12,56,1,,30076,Akita Drilling Ltd.,0,0,0,1,114.3,,4,XH,45,,,,,,,
2,Akita Drilling Ltd. 21,21,56,1,,30076,Akita Drilling Ltd.,0,0,0,1,114.3,,4,XH,45,,,,,,,
3,Akita Drilling Ltd. 21,21,56,1,,30076,Akita Drilling Ltd.,0,0,0,0,,,,,,,,,,,,
4,Akita Drilling Ltd. 25,25,56,1,,30076,Akita Drilling Ltd.,0,0,0,0,,,,,,,,,,,,
5,Akita Drilling Ltd. 27,27,56,2,Single,30076,Akita Drilling Ltd.,0,0,0,0,,,,,,,,,,,,
6,Akita Drilling Ltd. 31,31,56,1,,30076,Akita Drilling Ltd.,0,0,0,0,,,,,,,,,,,,
7,Akita Drilling Ltd. 32E,32E,56,1,,30076,Akita Drilling Ltd.,0,0,0,0,,,,,,,,,,,,
8,Akita Drilling Ltd. 40,40,56,4,Triple,30076,Akita Drilling Ltd.,0,0,0,0,,,,,,,,,,,,
9,Akita Drilling Ltd. 6,6,56,1,,30076,Akita Drilling Ltd.,0,0,0,1,114.3,,4,XH,45,,,,,,,
10,Akita Drilling Ltd. 8,8,56,1,,30076,Akita Drilling Ltd.,0,0,0,1,114.3,,4,XH,45,,,,,,,
11,Akita Drilling Ltd. 80,80,56,1,,30076,Akita Drilling Ltd.,0,0,0,1,114.3,,4,XH,45,,,,,,,
12,Akita Drilling Ltd. 90,90,56,4,Triple,30076,Akita Drilling Ltd.,0,0,0,1,114.3,,4,XH,45,,,,,,,
13,Alliance Drilling And Oilfield Service Ltd 2,2,56,1,,30177,Alliance Drilling And Oilfield Service Ltd,0,0,0,1,114.3,,4,XH,45,,,,,,,
14,Alliance Drilling Ltd 8,8,56,1,,30177,Alliance Drilling Ltd,0,0,0,0,,,,,,,,,,,,
15,Beaver Drilling Ltd. 3,3,56,1,,30081,Beaver Drilling Ltd.,0,0,0,1,101.6,,4,XH,45,,,,,,,
16,Beaver Drilling Ltd. 6,6,56,1,,30081,Beaver Drilling Ltd.,0,0,0,1,114.3,,4,XH,45,,,,,,,
17,Betts Drilling Ltd. 1,1,56,1,,30217,Betts Drilling Ltd.,0,0,0,1,114.3,,4,XH,45,,,,,,,
18,Betts Drilling Ltd. 2,2,56,1,,30217,Betts Drilling Ltd.,0,0,0,1,114.3,,4,XH,45,,,,,,,
19,Bonanza Drilling Inc. 10,10,56,1,,30155,Bonanza Drilling Inc.,0,0,0,1,114.3,,4,XH,45,,,,,,,
20,Bonanza Drilling Inc. 2,2,56,1,,30155,Bonanza Drilling Inc.,0,0,0,1,114.3,,4,XH,45,,,,,,,
21,Bonanza Drilling Inc. 4,4,56,1,,30155,Bonanza Drilling Inc.,0,0,0,1,114.3,,4,XH,45,,,,,,,
22,Bonanza Drilling Inc. 5,5,56,1,,30155,Bonanza Drilling Inc.,0,0,0,1,114.3,,4,XH,45,,,,,,,
23,Bonanza Drilling Inc. 6,6,56,1,,30155,Bonanza Drilling Inc.,0,0,0,1,114.3,,4,XH,45,,,,,,,
24,Bonanza Drilling Inc. 7,7,56,1,,30155,Bonanza Drilling Inc.,0,0,0,1,114.3,,4,XH,45,,,,,,,
25,Bonanza Drilling Inc. 8,8,56,1,,30155,Bonanza Drilling Inc.,0,0,0,1,114.3,,4,XH,45,,,,,,,
26,Bonanza Drilling Inc. 9,9,56,1,,30155,Bonanza Drilling Inc.,0,0,0,0,,,,,,,,,,,,
27,Camaro Drilling Ltd 1,1,56,1,,30086,Camaro Drilling Ltd,0,0,0,0,,,,,,,,,,,,
28,Canadian Well Services Corp 142,142,56,1,,30151,Canadian Well Services Corp,0,0,0,0,,,,,,,,,,,,
29,Chinook Drilling 17,17,56,1,,30089,Chinook Drilling,0,0,0,1,114.3,,4,XH,45,,,,,,,
30,Chinook Drilling 18,18,56,1,,30089,Chinook Drilling,0,0,0,1,114.3,,4,XH,45,,,,,,,
31,Chinook Drilling 19,19,56,3,Double,30089,Chinook Drilling,0,0,0,1,114.3,,4,XH,45,,,,,,,
32,Chinook Drilling 3,3,56,1,,30089,Chinook Drilling,0,0,0,0,,,,,,,,,,,,
33,Citadel Drilling Ltd. 1,1,56,1,,30216,Citadel Drilling Ltd.,0,0,0,1,114.3,,4,XH,45,,,,,,,
34,Concord Well Servicing 118,118,56,1,,30012,Concord Well Servicing,0,0,0,1,114.3,,4,XH,45,,,,,,,
35,Concord Well Servicing 119,119,56,1,,30012,Concord Well Servicing,0,0,0,1,114.3,,4,XH,45,,,,,,,
36,Concord Well Servicing 120,120,56,1,,30012,Concord Well Servicing,0,0,0,1,114.3,,4,XH,45,,,,,,,
37,Concord Well Servicing 144,144,56,1,,30012,Concord Well Servicing,0,0,0,0,,,,,,,,,,,,
38,Concord Well Servicing 148,148,56,1,,30012,Concord Well Servicing,0,0,0,0,,,,,,,,,,,,
39,Concord Well Servicing 154,154,56,1,,30012,Concord Well Servicing,0,0,0,1,114.3,,4,XH,45,,,,,,,
40,Concord Well Servicing 19,19,56,1,,30012,Concord Well Servicing,0,0,0,0,,,,,,,,,,,,
41,Concord Well Servicing 23,23,56,1,,30012,Concord Well Servicing,0,0,0,0,,,,,,,,,,,,
42,Concord Well Servicing 40,40,56,1,,30012,Concord Well Servicing,0,0,0,0,,,,,,,,,,,,
43,Concord Well Servicing 41,41,56,1,,30012,Concord Well Servicing,0,0,0,0,,,,,,,,,,,,
44,Concord Well Servicing 41,41,56,1,,30012,Concord Well Servicing,0,0,0,1,114.3,,4,XH,45,,,,,,,
45,Concord Well Servicing 49,49,56,1,,30012,Concord Well Servicing,0,0,0,1,114.3,,4,XH,45,,,,,,,
46,Concord Well Servicing 64,64,56,1,,30012,Concord Well Servicing,0,0,0,0,,,,,,,,,,,,
47,Concord Well Servicing 78,78,56,1,,30012,Concord Well Servicing,0,0,0,1,114.3,,4,XH,45,,,,,,,
48,Crusader Drilling 1,1,56,1,,30183,Crusader Drilling,0,0,0,1,114.3,,4,XH,45,,,,,,,
49,Crusader Drilling 2,2,56,1,,30183,Crusader Drilling,0,0,0,0,,,,,,,,,,,,
50,CWC Ironhand Drilling 0,0,56,1,,30215,CWC Ironhand Drilling,0,0,0,0,,,,,,,,,,,,
51,CWC Ironhand Drilling 1,1,56,1,,30215,CWC Ironhand Drilling,0,0,0,0,,,,,,,,,,,,
52,CWC Ironhand Drilling 110,110,56,1,,30215,CWC Ironhand Drilling,0,0,0,0,,,,,,,,,,,,
53,CWC Ironhand Drilling 126,126,56,1,,30215,CWC Ironhand Drilling,0,0,0,0,,,,,,,,,,,,
54,CWC Ironhand Drilling 129,129,56,1,,30215,CWC Ironhand Drilling,0,0,0,0,,,,,,,,,,,,
55,CWC Ironhand Drilling 139,139,56,1,,30215,CWC Ironhand Drilling,0,0,0,0,,,,,,,,,,,,
56,CWC Ironhand Drilling 208,208,56,1,,30215,CWC Ironhand Drilling,0,0,0,0,,,,,,,,,,,,
57,CWC Ironhand Drilling 255,255,56,1,,30215,CWC Ironhand Drilling,0,0,0,1,114.3,,4,XH,45,,,,,,,
58,DC Drilling Inc. 2,2,56,1,,30188,DC Drilling Inc.,0,0,0,1,114.3,,4,XH,45,,,,,,,
59,Diamond Energy Services 6,6,56,1,,30014,Diamond Energy Services,0,0,0,0,,,,,,,,,,,,
60,Eagle Drilling Services Ltd. 45,45,56,1,,30093,Eagle Drilling Services Ltd.,0,0,0,0,,,,,,,,,,,,
61,Eagle Well Servicing 22,22,56,1,,30015,Eagle Well Servicing,0,0,0,0,,,,,,,,,,,,
62,Ensign Drilling Inc. 141,141,56,1,,30095,Ensign Drilling Inc.,0,0,0,1,114.3,,4,XH,45,,,,,,,
63,Ensign Drilling Inc. 143,143,56,1,,30095,Ensign Drilling Inc.,0,0,0,1,114.3,,4,XH,45,,,,,,,
64,Ensign Drilling Inc. 147,147,56,1,,30095,Ensign Drilling Inc.,0,0,0,1,114.3,,4,XH,45,,,,,,,
65,Ensign Drilling Inc. 148,148,56,3,Double,30095,Ensign Drilling Inc.,0,0,0,1,114.3,,4,XH,45,,,,,,,
66,Ensign Drilling Inc. 220,220,56,1,,30095,Ensign Drilling Inc.,0,0,0,1,114.3,,4,XH,45,,,,,,,
67,Ensign Drilling Inc. 225,225,56,3,Double,30095,Ensign Drilling Inc.,0,0,0,1,114.3,,4,XH,45,,,,,,,
68,Ensign Drilling Inc. 351,351,56,1,,30095,Ensign Drilling Inc.,0,0,0,1,114.3,,4,XH,45,,,,,,,
69,Ensign Drilling Inc. 352,352,56,1,,30095,Ensign Drilling Inc.,0,0,0,1,114.3,,4,XH,45,,,,,,,
70,Ensign Drilling Inc. 361,361,56,1,,30095,Ensign Drilling Inc.,0,0,0,1,114.3,,4,XH,45,,,,,,,
71,Ensign Drilling Inc. 544,544,56,1,,30095,Ensign Drilling Inc.,0,0,0,1,101.6,,4,XH,45,,,,,,,
72,Ensign Drilling Inc. 651,651,56,1,,30095,Ensign Drilling Inc.,0,0,0,1,114.3,,4,XH,45,,,,,,,
73,Essential Well Service 1129,1129,56,1,,30167,Essential Well Service,0,0,0,0,,,,,,,,,,,,
74,Excalibur Drilling Ltd. 10,10,56,1,,30096,Excalibur Drilling Ltd.,0,0,0,1,114.3,,4,XH,45,,,,,,,
75,Ex-Cel Well Servicing Ltd. 2,2,56,1,,30017,Ex-Cel Well Servicing Ltd.,0,0,0,0,,,,,,,,,,,,
76,Ex-Cel Well Servicing Ltd. 3,3,56,1,,30017,Ex-Cel Well Servicing Ltd.,0,0,0,0,,,,,,,,,,,,
77,Extreme Drilling Inc 3,3,56,1,,30179,Extreme Drilling Inc,0,0,0,0,,,,,,,,,,,,
78,Fox Drilling Inc 1,1,56,1,,30169,Fox Drilling Inc,0,0,0,1,114.3,,4,XH,45,,,,,,,
79,Global Petroleum Group-Caterpiller 40,40,56,1,,30020,Global Petroleum Group-Caterpiller,0,0,0,0,,,,,,,,,,,,
80,Grimes Well Servicing Ltd. 2,2,56,1,,30022,Grimes Well Servicing Ltd.,0,0,0,0,,,,,,,,,,,,
81,Grimes Well Servicing Ltd. 6,6,56,1,,30022,Grimes Well Servicing Ltd.,0,0,0,0,,,,,,,,,,,,
82,Horizon Drilling Inc. 11,11,56,1,,30100,Horizon Drilling Inc.,0,0,0,1,114.3,,4,XH,45,,,,,,,
83,Horizon Drilling Inc. 14,14,56,1,,30100,Horizon Drilling Inc.,0,0,0,1,114.3,,4,XH,45,,,,,,,
84,Horizon Drilling Inc. 16,16,56,1,,30100,Horizon Drilling Inc.,0,0,0,1,114.3,,4,XH,45,,,,,,,
85,Horizon Drilling Inc. 2,2,56,1,,30100,Horizon Drilling Inc.,0,0,0,1,101.6,,4,XH,45,,,,,,,
86,Horizon Drilling Inc. 21,21,56,1,,30100,Horizon Drilling Inc.,0,0,0,1,114.3,,4,XH,45,,,,,,,
87,Horizon Drilling Inc. 3,3,56,1,,30100,Horizon Drilling Inc.,0,0,0,1,114.3,,4,XH,45,,,,,,,
88,Horizon Drilling Inc. 30,30,56,1,,30100,Horizon Drilling Inc.,0,0,0,0,,,,,,,,,,,,
89,Horizon Drilling Inc. 34,34,56,1,,30100,Horizon Drilling Inc.,0,0,0,0,,,,,,,,,,,,
90,Horizon Drilling Inc. 37,37,56,1,,30100,Horizon Drilling Inc.,0,0,0,1,114.3,,4,XH,45,,,,,,,
91,Horizon Drilling Inc. 39,39,56,1,,30100,Horizon Drilling Inc.,0,0,0,1,114.3,,1,,45,,,,,,,
92,Horizon Drilling Inc. 4,4,56,1,,30100,Horizon Drilling Inc.,0,0,0,1,114.3,,4,XH,45,,,,,,,
93,Horizon Drilling Inc. 47,47,56,1,,30100,Horizon Drilling Inc.,0,0,0,1,114.3,,4,XH,45,,,,,,,
94,Horizon Drilling Inc. 5,5,56,1,,30100,Horizon Drilling Inc.,0,0,0,0,,,,,,,,,,,,
95,Horizon Drilling Inc. 52,52,56,1,,30100,Horizon Drilling Inc.,0,0,0,1,101.6,,4,XH,45,,,,,,,
96,Horizon Drilling Inc. 55,55,56,1,,30100,Horizon Drilling Inc.,0,0,0,1,114.3,,4,XH,45,,,,,,,
97,Horizon Drilling Inc. 61,61,56,1,,30100,Horizon Drilling Inc.,0,0,0,1,114.3,,4,XH,45,,,,,,,
98,Horizon Drilling Inc. 7,7,56,1,,30100,Horizon Drilling Inc.,0,0,0,1,114.3,,4,XH,45,,,,,,,
99,Ironhand Drilling Inc 3,3,56,1,,30102,Ironhand Drilling Inc,0,0,0,1,114.3,,4,XH,45,,,,,,,
100,Ironhand Drilling Inc 5,5,56,1,,30102,Ironhand Drilling Inc,0,0,0,1,114.3,,4,XH,45,,,,,,,
101,Ironhand Drilling Inc 6,6,56,1,,30102,Ironhand Drilling Inc,0,0,0,1,114.3,,4,XH,45,,,,,,,
102,Ironhand Drilling Inc 9,9,56,1,,30102,Ironhand Drilling Inc,0,0,0,0,,,,,,,,,,,,
103,Komat Drilling 3,3,56,1,,30158,Komat Drilling,0,0,0,0,,,,,,,,,,,,
104,Lasso Drilling Corporation 1,1,56,1,,30106,Lasso Drilling Corporation,0,0,0,1,114.3,,4,XH,45,,,,,,,
105,Lockwell Servicing Ltd. 1,1,56,1,,30035,Lockwell Servicing Ltd.,0,0,0,0,,,,,,,,,,,,
106,Lockwell Servicing Ltd. 4,4,56,1,,30035,Lockwell Servicing Ltd.,0,0,0,0,,,,,,,,,,,,
